,original_text,filtered_text,NBD_tag
1554,12 cherry tomatoes,cherry tomatoes,"""11529"""
1555,Cornichons or baby gherkin pickles,cornichons or baby gherkin pickles,"""11937"""
1556,Marinated mushrooms,marinated mushrooms,"""11260"""
1557,Pickled onions,pickled onions,"""11282"""
1558,4 pounds medium sweet potatoes (about 7),sweet potatoes (about),"""11507"""
1559,1/2 pound sliced bacon cut crosswise into 1/2-inch-wide strips,sliced bacon cut crosswise intoinchwide strips,"""10123"""
1560,1 teaspoon salt,salt,"""02047"""
1561,1/2 teaspoon black pepper,black pepper,"""11291"""
1562,1/4 cup extra-virgin olive oil,extravirgin olive oil,"""04708"""
1563,3 scallions thinly sliced reserving sliced greens separately,scallions thinly sliced reserving sliced greens separately,"""02030"""
1564,2 tablespoons Sherry vinegar,sherry vinegar,"""02068"""
1565,1 tablespoon water,water,"""14411"""
1566,1/4 cup mayonnaise,mayonnaise,"""42138"""
1567,1 garlic clove minced,garlic clove minced,"""11215"""
1568,Pinch of cayenne pepper,pinch of cayenne pepper,"""02031"""
1569,Mediterranean bouquetgarni (1/3 cup fennel fronds; 4 thyme sprigs; two 5-inch-long strips orange peel),mediterranean bouquetgarni ( fennel fronds; thyme sprigs; twoinchlong strips orange peel),"""02027"""
1570,3 tablespoons olive oil,olive oil,"""44005"""
1571,1 3/4 cups chopped fresh fennel bulb (from 1 large),chopped fresh fennel bulb (from large),"""11957"""
1572,1 cup thinly sliced leek (white and pale green parts only),thinly sliced leek (white and pale green parts only),"""11246"""
1573,1/2 cup dry white wine,dry white wine,"""14106"""
1574,1/4 teaspoon saffron threads,saffron threads,"""02037"""
1575,3 cups low-salt chicken broth,lowsalt chicken broth,"""06970"""
1576,1 1/2 pounds halibut fillets cut into 1-inch pieces,halibut fillets cut intoinch pieces,"""15036"""
1577,4 1-inch-thick baguette slices,inchthick baguette,"""18349"""
1578,1/2 cup coconut cream (not cream of coconut) or milk,coconut cream (not cream of coconut) or milk,"""12116"""
1579,3 large egg whites,egg whites,"""01124"""
1580,1/2 teaspoon pure vanilla extract,pure vanilla extract,"""02050"""
1581,1 1/2 cups cake flour,cake flour,"""20084"""
1582,2 teaspoons baking powder,baking powder,"""18371"""
1583,6 tablespoons (3 ounces) unsalted butter softened,( ounces) unsalted butter softened,"""01145"""
1584,1/2 teaspoon salt,salt,"""02047"""
1585,3/4 cup granulated sugar,granulated sugar,"""19335"""
1586,1/2 cup desiccated or unsweetened coconut finely ground in a food processor,desiccated or unsweetened coconut finely ground in a food processor,"""12104"""
1587,1/2 cup sweetened dried coconut,sweetened dried coconut,"""12179"""
1588,6 ounces white chocolate finely chopped,white chocolate finely chopped,"""19087"""
1589,1 3/4 cups powdered sugar,powdered sugar,"""19336"""
1590,1/4 cup milk,milk,"""01077"""
1591,4 ounces (8 tablespoons) butter,( tablespoons) butter,"""01001"""
1592,1/2 teaspoon pure vanilla extract,pure vanilla extract,"""02050"""
1593,1/4 teaspoon salt,salt,"""02047"""
1595,2 ounces coconut rum,coconut rum,"""14037"""
1596,2 ounces dark rum,dark rum,"""14050"""
1597,1/2 cup cranberry juice,cranberry juice,"""14242"""
1598,1/2 cup orange juice,orange juice,"""42270"""
1599,1 orange slice halved,orange slice halved,"""09203"""
1600,1 lime slice halved,lime slice halved,"""09159"""
1601,1 cup freshly brewed Irish breakfast tea such as Barrys Lyons or Bewleys Tea,freshly brewed irish breakfast tea such as barrys lyons or bewleys tea,"""14544"""
1602,Honey to taste,honey to taste,"""19296"""
1603,Hot whole milk for topping,hot whole milk for topping,"""01077"""
1604,1 7- to 8-inch sheet dried kombu (kelp)*,toinch sheet dried kombu (kelp),"""11445"""
1605,7 cups water,water,"""14411"""
1606,1/2 cup dried bonito shavings*,dried bonito shavings,"""15123"""
1607,2 tablespoons mirin (sweet Japanese rice wine)*,mirin (sweet japanese rice wine),"""02068"""
1608,4 1/2 teaspoons tamari soy sauce*,tamari soy sauce,"""16124"""
1609,1 1/2 teaspoons rice vinegar,rice vinegar,"""02068"""
1610,1 teaspoon sugar,sugar,"""19335"""
1611,3/4 teaspoon salt,salt,"""02047"""
1612,5 teaspoons frozen pineapple-orange juice concentrate,frozen pineappleorange juice concentrate,"""14341"""
1613,1 tablespoon grated peeled fresh ginger,grated peeled fresh ginger,"""11216"""
1614,6 teaspoons olive oil,olive oil,"""44005"""
1615,10 green onions trimmed cut into 1-inch lengths,green onions trimmed cut intoinch lengths,"""11291"""
1616,4 4-ounce ahi tuna steaks,ahi tuna steaks,"""15127"""
1617,2 cups freshly cooked brown rice,freshly cooked brown rice,"""20041"""
1619,Nonstick cooking spray,nonstick cooking spray,"""04679"""
1620,2 1/2 cups confectioners sugar,confectioners sugar,"""19335"""
1621,3/4 cup bourbon (the good stuff),bourbon (the good stuff),"""14037"""
1622,Three 1/4-ounce packets unflavored gelatin,threeounce packets unflavored gelatin,"""19177"""
1623,1 1/2 cups granulated sugar,granulated sugar,"""19335"""
1624,1 cup light corn syrup,light corn syrup,"""19350"""
1625,1 tablespoon pure vanilla extract,pure vanilla extract,"""02050"""
1626,1 teaspoon kosher salt,kosher salt,"""02047"""
1627,Vegetable oil for cutting the marshmallows,vegetable oil for cutting the marshmallows,"""04513"""
1628,1 1/4 cups graham cracker crumbs,graham cracker crumbs,"""18173"""
1629,5 tablespoons unsalted butter melted,unsalted butter melted,"""01145"""
1630,2 tablespoons dark brown sugar,dark brown sugar,"""19334"""
1631,1 tablespoon all-purpose flour,allpurpose flour,"""20581"""
1632,1 1/2 teaspoons kosher salt,kosher salt,"""02047"""
1633,1 cup mashed cooked yams or sweet potatoes (either roast or boil whole until soft or use canned...your secret is safe with us),mashed cooked yams or sweet potatoes (either roast or boil whole until soft or use cannedyour secret is safe with us),"""11601"""
1634,1/4 cup packed dark brown sugar,packed dark brown sugar,"""19334"""
1635,2 tablespoons all-purpose flour,allpurpose flour,"""20581"""
1636,3 tablespoons unsalted butter melted,unsalted butter melted,"""01145"""
1637,1 tablespoon kosher salt,kosher salt,"""02047"""
1638,1 1/2 teaspoons ground cinnamon,ground cinnamon,"""02010"""
1639,1/2 teaspoon ground cloves,ground cloves,"""02011"""
1640,1 1/2 teaspoons ground ginger,ground ginger,"""02021"""
1641,1/2 teaspoon cracked black pepper,cracked black pepper,"""02030"""
1642,3 large eggs,eggs,"""01123"""
1643,1 cup sweetened condensed milk,sweetened condensed milk,"""01095"""
1644,1 tablespoon active dry yeast,active dry yeast,"""18375"""
1645,3/4 cup unsifted semolina (durum) flour,unsifted semolina (durum) flour,"""20581"""
1646,1 cup very warm water (110 to 115 degrees F),very warm water ( to degrees f),"""14411"""
1647,3 cups sifted unbleached all-purpose flour,sifted unbleached allpurpose flour,"""20581"""
1648,1 teaspoon salt,salt,"""02047"""
1649,2 cups (400 g) granulated sugar,( g) granulated sugar,"""19335"""
1650,3/4 cup (170 g) unsalted butter,( g) unsalted butter,"""01145"""
1651,1 1/4 cups (295 g) heavy cream at room temperature,( g) heavy cream at room temperature,"""01053"""
1652,1 teaspoon kosher salt,kosher salt,"""02047"""
1653,3 teaspoons vanilla extract,vanilla extract,"""02050"""
1654,2 tablespoons bourbon,bourbon,"""14037"""
1655,1 recipe Magpie Dough for Flaky Piecrust chilled overnight,magpie dough for flaky piecrust chilled overnight,"""18946"""
1656,2 pounds (907 g) ripe peaches each peeled halved pitted and cut into 8 wedges,( g) ripe peaches each peeled halved pitted and cut into wedges,"""09236"""
1657,1/2 cup (96 g) packed light brown sugar,( g) packed light brown sugar,"""19334"""
1658,1 tablespoon vanilla extract,vanilla extract,"""02050"""
1659,1 tablespoon freshly squeezed lemon juice,freshly squeezed lemon juice,"""09152"""
1660,1/2 cup (96 g) granulated sugar,( g) granulated sugar,"""19335"""
1661,3 tablespoons finely ground instant tapioca (ground using a spice grinder),finely ground instant tapioca (ground using a spice grinder),"""19202"""
1662,1/2 teaspoon ground cinnamon,ground cinnamon,"""02010"""
1663,1/8 teaspoon fine salt,fine salt,"""02047"""
1664,1 large egg yolk,egg yolk,"""01125"""
1665,2 tablespoons sanding sugar or coarse raw sugar for sprinkling,sanding sugar or coarse raw sugar for sprinkling,"""19335"""
1666,1 loaf pita bread,loaf pita bread,"""18041"""
1667,4 red bell peppers,red bell peppers,"""11821"""
1668,1 teaspoon honey,honey,"""19296"""
1669,1 teaspoon Dijon mustard,dijon mustard,"""02046"""
1670,1 tablespoon balsamic vinegar,balsamic vinegar,"""02069"""
1671,2 1/2 tablespoons extra-virgin olive oil,extravirgin olive oil,"""44005"""
1672,1/2 pound fresh baby spinach (about 8 cups packed),fresh baby spinach (about packed),"""11457"""
1673,4 ounces slab bacon rind removed and cut into 1/4-inch dice or 5 tablespoons pure Spanish olive oil,slab bacon rind removed and cut intoinch dice or pure spanish olive oil,"""10123"""
1674,1 medium-size onion finely chopped,mediumsize onion finely chopped,"""11282"""
1675,1 medium-size green bell pepper seeded and finely chopped,mediumsize green bell pepper seeded and finely chopped,"""11333"""
1676,2 cloves garlic finely chopped,cloves garlic finely chopped,"""11215"""
1677,1 cup dried black beans rinsed soaked overnight and prepared according to directions on package to yield 2 1/2 cups cooked black beans or 2 (16-ounce) cans black beans undrained,dried black beans rinsed soaked overnight and prepared according to directions on package to yield cooked black beans or (ounce) black beans undrained,"""16014"""
1678,2 cups raw converted white rice,raw converted white rice,"""20452"""
1679,4 1/2 cups water,water,"""14411"""
1680,2 teaspoons salt,salt,"""02047"""
1681,1 bay leaf,bay leaf,"""02004"""
1682,2 tablespoons pure Spanish olive oil,pure spanish olive oil,"""44005"""
1683,1 tablespoon hot red pepper sauce (recommended: Blairs Original Death Sauce),hot red pepper sauce (recommended: blairs original death sauce),"""06168"""
1684,Freshly ground black pepper,freshly ground black pepper,"""02030"""
1685,4 cups all-purpose flour,allpurpose flour,"""20581"""
1686,1 tablespoon baking powder,baking powder,"""18371"""
1687,1/4 cup sugar divided,sugar divided,"""19335"""
1688,1 teaspoon salt,salt,"""02047"""
1689,6 eggs separated,eggs separated,"""01123"""
1690,3 1/2 cups milk,milk,"""01077"""
1691,1/2 cup vegetable oil,vegetable oil,"""04513"""
1692,1 teaspoon lemon extract,lemon extract,"""09153"""
1694,Oil for waffle iron,oil for waffle iron,"""04582"""
1695,1 cup chopped walnuts,chopped walnuts,"""12155"""
1696,Maple syrup for serving,maple syrup for,"""19353"""
1697,8 ounces ground beef,ground beef,"""23572"""
1698,1 ounce shredded Cheddar,shredded cheddar,"""01270"""
1699,1 ounce cooked bacon chopped,cooked bacon chopped,"""10860"""
1700,2 tablespoons canola or olive oil,canola or olive oil,"""04582"""
1701,1 hamburger bun optional,hamburger bun optional,"""28288"""
1702,8 Yukon gold potatoes,yukon gold potatoes,"""11362"""
1703,2 to 3 tablespoons white wine vinegar,to white wine vinegar,"""02053"""
1704,1 clove garlic smashed,clove garlic smashed,"""11215"""
1705,Kosher salt,kosher salt,"""02047"""
1706,2 eggs,eggs,"""01123"""
1707,Extra-virgin olive oil,extravirgin olive oil,"""44005"""
1709,4 teabags,teabags,"""14247"""
1710,Sugar or sweetener optional,sugar or sweetener optional,"""19335"""
1712,6 tablespoons sugar,sugar,"""19335"""
1713,1 1/2 teaspoons ground cinnamon,ground cinnamon,"""02010"""
1714,Kosher salt,kosher salt,"""02047"""
1715,1/2 teaspoon ground allspice,ground allspice,"""02001"""
1716,1/2 teaspoon ground ginger,ground ginger,"""02021"""
1717,1/4 teaspoon ground cloves,ground cloves,"""02011"""
1718,1/4 teaspoon freshly grated nutmeg,freshly grated nutmeg,"""02025"""
1721,1 large egg white,egg white,"""01123"""
1722,1 cup unsalted raw almonds,unsalted raw almonds,"""12061"""
1723,1 cup unsalted raw hazelnuts,unsalted raw hazelnuts,"""12120"""
1724,1 cup unsalted raw peanuts,unsalted raw peanuts,"""16087"""
1725,1 cup unsalted raw pecans,unsalted raw pecans,"""12142"""
1726,1 cup chopped cooked bacon,chopped cooked bacon,"""10123"""
1727,1 cup sugar syrup,sugar syrup,"""14637"""
1728,1 pint lemon juice,lemon juice,"""09152"""
1729,1 quart strong green tea,strong green tea,"""14278"""
1730,2 quarts white grape juice,white grape juice,"""14282"""
1731,1 block ice,block ice,"""14411"""
1732,2 quarts chilled club soda,chilled club soda,"""14121"""
1733,3/4 teaspoon ground cumin,ground cumin,"""02014"""
1734,1/4 cup extra-virgin olive oil,extravirgin olive oil,"""04708"""
1735,1 (15-ounce) can stewed tomatoes chopped,(ounce) stewed tomatoes chopped,"""11533"""
1736,1 1/2 tablespoons drained capers,drained capers,"""02054"""
1737,1/2 teaspoon cinnamon,cinnamon,"""02010"""
1738,4 (6-ounce) pieces hake or halibut fillet (about 1-inch-thick),(ounce) pieces hake or halibut fillet (aboutinchthick),"""15036"""
1739,1 bunch of broccoli cut in florets stalks peeled and cut into 1-inch pieces,bunch of broccoli cut in florets stalks peeled and cut intoinch pieces,"""11090"""
1740,2-inch piece of fresh ginger peeled,piece of fresh ginger peeled,"""11216"""
1741,2 teaspoons soy sauce,soy sauce,"""16124"""
1742,1 teaspoon rice wine vinegar,rice wine vinegar,"""04135"""
1743,1 teaspoon toasted sesame oil,toasted sesame oil,"""04058"""
1744,1 scallion sliced thinly on bias,scallion sliced thinly on bias,"""11291"""
1745,1 red pepper diced,red pepper diced,"""11821"""
1746,Toasted sesame seeds for garnish,toasted sesame seeds for,"""12023"""
1747,2 tablespoons olive oil,olive oil,"""44005"""
1748,1 garlic clove minced,garlic clove minced,"""11215"""
1749,1 teaspoon ground cumin,ground cumin,"""02014"""
1750,1 teaspoon Hungarian sweet paprika,hungarian sweet paprika,"""02028"""
1751,1 3/4 pounds tomatoes seeded chopped (about 3 cups),tomatoes seeded chopped (about cups),"""11529"""
1752,1/4 cup chopped fresh cilantro,chopped fresh cilantro,"""11165"""
1753,1/4 cup chopped fresh parsley,chopped fresh parsley,"""11297"""
1754,PAM® Original No-Stick Cooking Spray,pam® original nostick cooking spray,"""04679"""
1755,1 loaf (1 lb each) frozen bread dough thawed,loaf ( each) frozen bread dough thawed,"""18069"""
1756,2 cans (14.5 oz each) Chef Boyardee® Spaghetti & Meatballs,( each) chef boyardee® spaghetti & meatballs,"""22912"""
1757,1 cup shredded part-skim mozzarella cheese,shredded partskim mozzarella cheese,"""01028"""
1758,1/4 cup grated Parmesan cheese,grated parmesan cheese,"""01033"""
1759,2 tablespoons finely chopped fresh parsley,finely chopped fresh parsley,"""11297"""
1760,1 1/4 cups all-purpose flour plus more for dusting,allpurpose flour plus more for dusting,"""20581"""
1761,1 teaspoon granulated sugar,granulated sugar,"""19335"""
1762,1/4 teaspoon salt,salt,"""02047"""
1763,2 tablespoons cold vegetable shortening,cold vegetable shortening,"""04615"""
1764,4 tablespoons cold unsalted butter cut into small pieces,cold unsalted butter cut into pieces,"""01145"""
1765,1 teaspoon distilled white vinegar or fresh lemon juice,distilled white vinegar or fresh lemon juice,"""02053"""
1767,1 15-ounce can pure pumpkin puree,pure pumpkin puree,"""11424"""
1768,1 stick unsalted butter melted and cooled slightly,unsalted butter melted and cooled slightly,"""01145"""
1769,2 large eggs,eggs,"""01123"""
1770,3/4 cup packed light brown sugar,packed light brown sugar,"""19334"""
1771,1/4 cup granulated sugar,granulated sugar,"""19335"""
1772,1/4 teaspoon ground allspice,ground allspice,"""02001"""
1773,1/4 teaspoon ground cinnamon,ground cinnamon,"""02010"""
1774,3/4 cup buttermilk,buttermilk,"""01230"""
1775,2 tablespoons all-purpose flour,allpurpose flour,"""20581"""
1777,1 2/3 cups all-purpose flour,allpurpose flour,"""20581"""
1778,1 1/2 teaspoons sugar,sugar,"""19335"""
1779,3/4 teaspoon salt,salt,"""02047"""
1780,1 1/4 sticks cold unsalted butter cut into pieces,cold unsalted butter cut into pieces,"""01145"""
1781,4 to 5 tablespoons ice water,to ice water,"""14411"""
1782,1/3 cup water,water,"""14411"""
1783,2 tablespoons Calvados,calvados,"""14037"""
1784,1 cup packed pitted prunes (7 oz) halved,packed pitted prunes ( oz) halved,"""09291"""
1785,1 teaspoon cinnamon,cinnamon,"""02010"""
1786,Pinch of ground cloves,pinch of ground cloves,"""02011"""
1787,5 tablespoons all-purpose flour,allpurpose flour,"""20581"""
1788,3/4 cup sugar,sugar,"""19335"""
1789,2 pounds tart green apples (5),tart green apples (),"""09502"""
1790,1 1/2 tablespoons fresh lemon juice,fresh lemon juice,"""09152"""
1791,1/2 cup walnut pieces toasted,walnut pieces toasted,"""12155"""
1792,1 tablespoon whole milk,whole milk,"""01077"""
1793,1 tablespoon sugar,sugar,"""19335"""
1794,8 tablespoons (120 g) unsalted butter at room temperature plus more for the baking dish,( g) unsalted butter at room temperature plus more for the baking dish,"""01145"""
1795,11 1/2 tablespoons (165 g) sugar plus more for the baking dish,( g) sugar plus more for the baking dish,"""19335"""
1797,3 tablespoons (25 g) cornstarch,( g) cornstarch,"""20027"""
1798,4 large egg yolks,egg yolks,"""01125"""
1799,2 cups (480 g) fromage blanc,( g) fromage blanc,"""01287"""
1800,6 large egg whites (at room temperature),egg whites (at room temperature),"""01124"""
1801,Pinch of salt,pinch of salt,"""02047"""
1802,1 1/4 cups cider vinegar,cider vinegar,"""02048"""
1803,4 teaspoons chili powder,chili powder,"""02009"""
1804,2 1/2 teaspoons salt,salt,"""02047"""
1805,1 1/2 teaspoons sugar,sugar,"""19335"""
1806,1 teaspoon cayenne pepper,cayenne pepper,"""02031"""
1807,1 teaspoon dry mustard,dry mustard,"""02024"""
1808,1 teaspoon paprika,paprika,"""02028"""
1809,1 teaspoon ground black pepper,ground black pepper,"""02030"""
1810,1/2 teaspoon ground cumin,ground cumin,"""02014"""
1811,4 skinless boneless chicken breast halves,skinless boneless chicken breast halves,"""05062"""
1812,3 tablespoons olive oil,olive oil,"""44005"""
1813,4 whole leg-thigh chicken pieces,whole legthigh chicken pieces,"""05075"""
1814,2 celery stalks cut into 1-inch pieces,celery stalks cut intoinch pieces,"""11143"""
1815,1 onion cut into 1-inch pieces,onion cut intoinch pieces,"""11282"""
1816,1 large carrot peeled cut into 1-inch pieces,carrot peeled cut intoinch pieces,"""11124"""
1817,1 bay leaf,bay leaf,"""02004"""
1818,1/2 cup dry white wine,dry white wine,"""14106"""
1819,4 cups low-salt chicken broth,lowsalt chicken broth,"""06970"""
1820,1 cup sugar snap peas trimmed,sugar snap peas trimmed,"""11300"""
1821,1/2 cup chopped celery,chopped celery,"""11143"""
1822,1 cup baby carrots,baby carrots,"""11960"""
1823,12 pearl onions,pearl onions,"""11282"""
1824,3 tablespoons butter,butter,"""01001"""
1825,4 skinless boneless chicken breast halves cut into 1-inch cubes,skinless boneless chicken breast halves cut intoinch cubes,"""05062"""
1826,3 tablespoons all purpose flour,all purpose flour,"""20581"""
1827,1/4 cup whipping cream,whipping cream,"""01053"""
1828,1 tablespoon chopped fresh Italian parsley,chopped fresh italian parsley,"""11297"""
1829,1 teaspoon chopped fresh thyme,chopped fresh thyme,"""02049"""
1831,14Anjou pears peeled,anjou pears peeled,"""09252"""
1832,1quart tequila,tequila,"""14037"""
1833,1/2 cup sugar,sugar,"""19335"""
1834,112-ounce package frozen unsweetened raspberries thawed,package frozen unsweetened raspberries thawed,"""09302"""
1835,18-ounce jar prickly pear jelly* or apple jelly,jar prickly pear jelly or apple jelly,"""09287"""
1836,2tablespoons orange liqueur,orange liqueur,"""14037"""
1838,4 tablespoons extra-virgin olive oil divided,extravirgin olive oil divided,"""04708"""
1839,8 baby artichokes trimmed halved,baby artichokes trimmed halved,"""11007"""
1840,2 garlic cloves chopped,garlic cloves chopped,"""11215"""
1841,6 large eggs,eggs,"""01123"""
1842,4 tablespoons coarsely grated sharp cheddar cheese divided,coarsely grated sharp cheddar cheese divided,"""01270"""
1843,4 ounces fresh crimini (baby bella) mushrooms thinly sliced,fresh crimini (baby bella) mushrooms thinly sliced,"""11266"""
1844,1 1/2 cups whipping cream,whipping cream,"""01053"""
1845,12 ounces bittersweet (not unsweetened) or semisweet chocolate chopped,bittersweet (not unsweetened) or semisweet chocolate chopped,"""19904"""
1846,2 tablespoons light corn syrup,light corn syrup,"""19350"""
1847,1 1/2 teaspoons soy sauce,soy sauce,"""16124"""
1848,1 1/2 tablespoons white wine vinegar,white wine vinegar,"""02053"""
1849,1/2 teaspoon sugar,sugar,"""19335"""
1850,2 tablespoons olive oil,olive oil,"""44005"""
1851,1 tablespoon Asian sesame oil,asian sesame oil,"""04058"""
1852,3 cups thinly sliced Napa cabbage,thinly sliced napa cabbage,"""11114"""
1853,1 medium carrot shredded,carrot shredded,"""11124"""
1854,1 scallion sliced thin,scallion sliced thin,"""11291"""
1855,1/2 pound sea scallops,sea scallops,"""15172"""
1857,1/4 cup orange juice,orange juice,"""42270"""
1858,3 tablespoons fresh lemon juice,fresh lemon juice,"""09152"""
1859,2 tablespoons olive oil,olive oil,"""44005"""
1860,1 1/2 tablespoons chili powder,chili powder,"""02009"""
1861,1/4 teaspoon cayenne pepper,cayenne pepper,"""02031"""
1862,1 1/2 pounds 1-inch-thick shark fillets cut into 1-inch cubes,poundsinchthick shark fillets cut intoinch cubes,"""15095"""
1863,1 large orange peel and pith cut away cubed,orange peel and pith cut away cubed,"""09203"""
1864,1/2 cup chopped red onion,chopped red onion,"""11282"""
1865,1/4 cup chopped fresh cilantro,chopped fresh cilantro,"""11165"""
1866,1 tablespoon chopped garlic,chopped garlic,"""11215"""
1867,1 large serrano or jalapeño chili minced,serrano or jalapeño chili minced,"""11977"""
1868,1 large avocado peeled pitted cubed,avocado peeled pitted cubed,"""09038"""
1869,2 cups heavy cream,heavy cream,"""01053"""
1870,1 pound premium semisweet chocolate (recommended: Lindt or Callebaut),premium semisweet chocolate (recommended: lindt or callebaut),"""19080"""
1871,1 tablespoon pure vanilla extract,pure vanilla extract,"""02050"""
1872,1 tablespoon brandy,brandy,"""14037"""
1873,Strawberries,strawberries,"""09316"""
1874,bananas,bananas,"""09040"""
1875,pineapple,pineapple,"""09266"""
1876,brownies,brownies,"""18154"""
1877,marshmallow,marshmallow,"""19116"""
1878,cookies,cookies,"""18155"""
1879,2 boneless Muscovy duck breast halves (about 1 3/4 pounds total),boneless muscovy duck breast halves (about total),"""05144"""
1880,3/4 cup chopped shallots,chopped shallots,"""11677"""
1881,2 1/4 cups canned low-salt chicken broth,canned lowsalt chicken broth,"""06970"""
1882,1 1/2 cups orange juice,orange juice,"""42270"""
1883,4 1/2 teaspoons Earl Grey tea leaves or 5 tea bags leaves removed from bags,earl grey tea leaves or tea bags leaves removed from bags,"""14247"""
1884,1 tablespoon honey,honey,"""19296"""
1885,3 tablespoons butter cut into small pieces,butter cut into pieces,"""11403"""
1887,1 cup kosher salt,kosher salt,"""02047"""
1888,1/2 cup freshly ground black pepper,freshly ground black pepper,"""02030"""
1889,1 tablespoon granulated garlic,granulated garlic,"""02020"""
1890,1 teaspoon cayenne,cayenne,"""02031"""
1891,1 whole beef brisket about 10 pounds,whole beef brisket,"""13904"""
1892,4 sticks (2 cups) salted butter at room temperature,( cups) salted butter at room temperature,"""01001"""
1893,2 cups granulated sugar,granulated sugar,"""19335"""
1894,2 large eggs,eggs,"""01123"""
1895,6 cups all-purpose flour plus more for dusting,allpurpose flour plus more for dusting,"""20581"""
1896,2 teaspoons baking powder,baking powder,"""18371"""
1897,1/2 teaspoon kosher salt,kosher salt,"""02047"""
1898,2 teaspoons vanilla extract,vanilla extract,"""02050"""
1899,2 teaspoons lemon juice,lemon juice,"""09152"""
1900,1/4 teaspoon ground cinnamon,ground cinnamon,"""02010"""
1901,4 large egg whites,egg whites,"""01124"""
1903,6 cups confectioners sugar,confectioners sugar,"""19335"""
1904,1 cup (2 sticks) salted butter room temperature,( sticks) salted butter room temperature,"""01001"""
1905,1 cup packed brown sugar,packed brown sugar,"""19334"""
1906,1 cup granulated sugar,granulated sugar,"""19335"""
1907,2 large eggs,eggs,"""01123"""
1908,1 teaspoon vanilla extract,vanilla extract,"""02050"""
1909,2 cups all-purpose flour,allpurpose flour,"""20581"""
1910,1 teaspoon baking soda,baking soda,"""18372"""
1911,1 teaspoon baking powder,baking powder,"""18371"""
1912,1/4 teaspoon salt,salt,"""02047"""
1913,2 cups old-fashioned oatmeal,oldfashioned oatmeal,"""08200"""
1914,1 cup chopped pecans,chopped pecans,"""12142"""
1915,1 cup grated coconut,grated coconut,"""12104"""
1916,1/2 pound large shrimp peeled,shrimp peeled,"""15270"""
1917,2 teaspoons sea salt,sea salt,"""02047"""
1918,1/4 cup extra-virgin olive oil,extravirgin olive oil,"""04708"""
1919,2 large cloves garlic finely chopped or passed through a garlic press,cloves garlic finely chopped or passed through a garlic press,"""11215"""
1920,pinch of dried red-pepper flakes or 1 or 2 whole dried peperoncini (hot peppers),of dried redpepper flakes or or whole dried peperoncini (hot peppers),"""02031"""
1921,1/4 teaspoon salt or to taste,salt or to taste,"""02047"""
1922,2 tablespoons dry white wine,dry white wine,"""14106"""
1923,1 tablespoon chopped fresh Italian parsley,chopped fresh italian parsley,"""11297"""
1924,1 cup diced Taylor ham,diced taylor ham,"""07938"""
1925,1 pound refrigerated pizza dough,refrigerated pizza dough,"""18014"""
1926,8 slices cheese such as American provolone Swiss or mozzarella,cheese such as american provolone swiss or mozzarella,"""01035"""
1927,8 cooked scrambled eggs,cooked scrambled eggs,"""01123"""
1928,1 egg beaten,egg beaten,"""01123"""
1929,Butter for greasing,butter for greasing,"""01001"""
1930,4 cups coarsely grated peeled Golden Delicious apples (about 4),coarsely grated peeled golden delicious apples (about),"""09503"""
1931,1 cup firmly packed light brown sugar,firmly packed light brown sugar,"""19334"""
1932,2 teaspoons cinnamon,cinnamon,"""02010"""
1933,1/4 cup brandy,brandy,"""14037"""
1934,4 large egg whites,egg whites,"""01124"""
1935,2 tablespoons confectioners sugar for sprinkling,confectioners sugar for sprinkling,"""19335"""
1936,14 ounces canned (or frozen thawed) artichoke hearts drained diced (not marinated),canned (or frozen thawed) artichoke hearts drained diced (not marinated),"""11007"""
1937,9 ounces frozen creamed spinach thawed,frozen creamed spinach thawed,"""11463"""
1938,1/2 cup finely diced red onion,finely diced red onion,"""11282"""
1939,1/2 cup diced roasted red bell pepper,diced roasted red bell pepper,"""11821"""
1940,1/3 cup grated Parmesan,grated parmesan,"""01033"""
1941,2 tablespoons jarred pesto sauce,jarred pesto sauce,"""06626"""
1942,2 tablespoons mayonnaise,mayonnaise,"""42138"""
1943,1 teaspoon freshly cracked black pepper,freshly cracked black pepper,"""02030"""
1944,1/2 teaspoon salt,salt,"""02047"""
1945,1 package tortilla chips,package tortilla chips,"""25028"""
1946,1 package pita chips,package pita chips,"""25037"""
1947,1 1/2 pounds tomatillos (15 to 18) husked and rinsed,tomatillos ( to) husked and rinsed,"""11954"""
1948,2 serrano or jalapeño chiles stemmed,serrano or jalapeño chiles stemmed,"""11977"""
1949,1 teaspoon cumin seed,cumin seed,"""02014"""
1950,3 allspice berries,allspice berries,"""02001"""
1951,1 whole clove,whole clove,"""02011"""
1952,3 medium garlic cloves peeled,garlic cloves peeled,"""11215"""
1953,1/2 cup coarsely chopped cilantro,coarsely chopped cilantro,"""11165"""
1954,1 1/2 teaspoons salt divided,salt divided,"""02047"""
1955,3 pounds pork shoulder cut into 1-inch pieces,pork shoulder cut intoinch pieces,"""10070"""
1956,2 tablespoons vegetable oil,vegetable oil,"""04513"""
1957,1/2 cup heavy cream,heavy cream,"""01053"""
1958,1/2 cup milk,milk,"""01077"""
1959,2 tablespoons sugar,sugar,"""19335"""
1960,1/4 cup butter divided,butter divided,"""01001"""
1961,1 teaspoon vanilla extract,vanilla extract,"""02050"""
1962,Pinch kosher salt,pinch kosher salt,"""02047"""
1963,1/2 cup semisweet chocolate chips or chopped chocolate,semisweet chocolate chips or chopped chocolate,"""19904"""
