,index,original_text,filtered_text,NBD_tag
739,778,2 ounces deli-sliced ham cut into strips,delisliced ham cut into strips,"""42128"""
740,779,2 ounces cheddar cheese cut into sticks,cheddar cheese cut into,"""01270"""
741,780,1/2 small head romaine lettuce thinly sliced,head romaine lettuce thinly sliced,"""11251"""
742,781,1/2 lemon,lemon,"""09150"""
743,782,4 to 5 medium globe artichokes,to globe artichokes,"""11007"""
744,783,2 pounds young fava beans in their pods about 2 cups shelled,young fava beans in their pods shelled,"""16052"""
745,784,1 large head of romaine lettuce,head of romaine lettuce,"""11251"""
746,785,2 to 3 fresh spring onions or 2 cups very thinly sliced medium white onions,to fresh spring onions or very thinly sliced white onions,"""11282"""
747,786,1/2 cup extra virgin olive oil,extra virgin olive oil,"""04708"""
748,787,Salt,salt,"""02047"""
749,788,2 pounds fresh young peas in their pods about 2 cups shelled,fresh young peas in their pods shelled,"""11304"""
750,789,Vegetable oil for frying tortillas,vegetable oil for frying tortillas,"""04513"""
751,790,1 package small corn tortillas,package corn tortillas,"""18363"""
752,791,1 can black beans drained,black beans drained,"""16014"""
753,792,Several dashes of hot sauce,several of hot sauce,"""06168"""
754,793,1/2 cup shredded Cheddar,shredded cheddar,"""01270"""
755,795,1/2 cup shredded lettuce,shredded lettuce,"""11253"""
756,796,2 tomatoes chopped,tomatoes chopped,"""11529"""
757,797,1/4 cup chopped onions,chopped onions,"""11282"""
758,798,Small handful fresh cilantro,small fresh cilantro,"""11165"""
759,799,1/2 jalapeno diced,jalapeno diced,"""11979"""
760,800,Juice of 1 lime,juice of lime,"""09160"""
761,801,1 avocado diced,avocado diced,"""09038"""
762,802,2 tablespoons sour cream,sour cream,"""01056"""
763,803,2 cans beef consomme,beef consomme,"""06008"""
764,804,1 1/2 cups soy sauce,soy sauce,"""16124"""
765,805,1/2 cup fresh lemon juice,fresh lemon juice,"""09152"""
766,807,5 cloves garlic chopped,cloves garlic chopped,"""11215"""
767,808,10 pounds beef brisket,beef brisket,"""13904"""
768,809,1 firm mango peel and pit removed (about 2 cups chopped),firm mango peel and pit removed (about chopped),"""09176"""
769,810,2 cups pineapple chunks,pineapple chunks,"""09266"""
770,811,2 large juicy limes peel and pith removed,juicy limes peel and pith removed,"""09159"""
771,812,1 tablespoon chia seeds optional,chia seeds optional,"""12006"""
772,813,1 cup buttermilk,buttermilk,"""01230"""
773,814,1/2 cup sour cream,sour cream,"""01056"""
774,815,1/4 cup mayonnaise,mayonnaise,"""42138"""
775,816,2 oz Parmesan finely grated,parmesan finely grated,"""01033"""
776,817,1 tsp pepper coarsely ground,pepper coarsely ground,"""02030"""
777,818,Salt to taste,salt to taste,"""02047"""
778,819,16 ounces semisweet chocolate,semisweet chocolate,"""19080"""
779,820,8 ounces (2 sticks) unsalted butter,( sticks) unsalted butter,"""01145"""
780,821,11 eggs separated,eggs separated,"""01123"""
781,822,3/4 cup granulated sugar,granulated sugar,"""19335"""
782,823,2 tablespoons brandy or liqueur (recommended: Cognac Grand Marnier Amaretto or Sambuca),brandy or liqueur (recommended: cognac grand marnier amaretto or sambuca),"""14037"""
783,824,1/2 cup imported polenta or domestic cornmeal (not quick cooking),imported polenta or domestic cornmeal (not quick cooking),"""20020"""
784,826,12 tomatillos husked and rinsed,tomatillos husked and rinsed,"""11954"""
785,827,1 small onion quartered and peeled,onion quartered and peeled,"""11282"""
786,828,6 medium cloves garlic peeled,cloves garlic peeled,"""11215"""
787,829,1/2 teaspoon ground cumin,ground cumin,"""02014"""
788,830,1/2 teaspoon cayenne pepper,cayenne pepper,"""02031"""
789,831,1 teaspoon chipotle hot sauce,chipotle hot sauce,"""06168"""
790,832,3 tablespoons chopped fresh cilantro,chopped fresh cilantro,"""11165"""
791,833,3 tablespoons fresh lime juice,fresh lime juice,"""09160"""
792,834,1/2 teaspoon sea salt,sea salt,"""02047"""
793,835,6 large poblanos,poblanos,"""11333"""
794,836,4 ounces smooth mild goat cheese,smooth mild goat cheese,"""01159"""
795,837,3/4 cup shredded Monterey Jack cheese,shredded monterey jack cheese,"""01025"""
796,838,12 ounces cooked crabmeat picked through for shells and cartilage,cooked crabmeat picked through for shells and cartilage,"""15226"""
797,839,1 tablespoon olive oil,olive oil,"""44005"""
798,840,1 small onion finely chopped,onion finely chopped,"""11282"""
799,841,1 cup quinoa rinsed well in cold water,quinoa rinsed well in cold water,"""20137"""
800,842,2 cups chicken stock,chicken stock,"""06172"""
801,843,1 bay leaf,bay leaf,"""02004"""
802,844,1 tablespoon cinnamon,cinnamon,"""02010"""
803,845,1/2 cup dried cranberries,dried cranberries,"""09079"""
804,846,1/2 teaspoon salt,salt,"""02047"""
805,847,1/2 teaspoon pepper,pepper,"""02030"""
806,848,1/2 cup sliced hazelnuts sliced,sliced hazelnuts sliced,"""12120"""
807,849,2 tablespoons butter,butter,"""01001"""
808,850,1 1/2 pound small (1 1/2- to 2-inch) boiling potatoes,( toinch) boiling potatoes,"""11352"""
809,851,3 tablespoons unsalted butter cut into pieces,unsalted butter cut into pieces,"""01145"""
810,852,2 tablespoons chopped fresh flat-leaf parsley,chopped fresh flatleaf parsley,"""11297"""
811,853,1/2 teaspoon kosher salt,kosher salt,"""02047"""
812,854,2 cups whole milk,whole milk,"""01077"""
813,856,3/4 cup sugar,sugar,"""19335"""
814,857,1/2 cup softened vanilla ice cream,softened vanilla ice cream,"""19095"""
815,858,1 1/2 cups fresh orange juice,fresh orange juice,"""42270"""
816,859,1 ounce (2 tablespoons) Grand Marnier or to taste,( tablespoons) grand marnier or to taste,"""14037"""
817,861,1 cup/229 g chopped finest quality plain dark chocolate (at least 70 percent cocoa),chopped finest quality plain dark chocolate (at least percent cocoa),"""19904"""
818,862,1/2 cup/118 ml milk,milk,"""01077"""
819,863,3 tablespoons/45 ml extra-virgin olive oil,extravirgin olive oil,"""04708"""
820,864,2 cloves garlic crushed,cloves garlic crushed,"""11215"""
821,865,1 pound/450 g shrimp peeled and deveined,shrimp peeled and deveined,"""15270"""
822,866,Salt,salt,"""02047"""
823,867,1 cup/240 ml white wine,white wine,"""14106"""
824,868,Small bunch fresh flat-leaf parsley chopped,small bunch fresh flatleaf parsley chopped,"""11297"""
825,869,Kosher salt to taste,kosher salt to taste,"""02047"""
826,870,1 cup mixed shell beans such as cranberry fava lima flageolets and/or butter beans,mixed shell beans such as cranberry fava lima flageolets andor butter beans,"""16052"""
827,871,3 tablespoons unsalted butter softened,unsalted butter softened,"""01145"""
828,872,1 small onion finely diced,onion finely diced,"""11282"""
829,873,1 cup fresh corn kernels (from about 1 large ear of corn),fresh corn kernels (from ear of corn),"""11167"""
830,874,1 cup Chicken Stock high-quality low-sodium store-bought chicken stock or water,chicken stock highquality lowsodium storebought chicken stock or water,"""06172"""
831,875,Black pepper from a mill,black pepper from a mill,"""02030"""
832,876,1 large shallot finely diced,shallot finely diced,"""11677"""
833,877,Four 6-ounce wild salmon fillets skin and any pin bones removed,fourounce wild salmon fillets skin and any pin bones removed,"""15238"""
834,878,1/2 cup Fish Stock,fish stock,"""06174"""
835,879,1/2 cup dry white wine,dry white wine,"""14106"""
836,880,1 teaspoon freshly squeezed lemon juice,freshly squeezed lemon juice,"""09152"""
837,881,1/3 cup heavy cream,heavy cream,"""01053"""
838,882,1/2 cup (1 stick) cold unsalted butter cut into 1/2-inch cubes,( stick) cold unsalted butter cut intoinch cubes,"""01145"""
839,883,3 tablespoons fresh basil (preferably a mix of green and purple basil) cut into chiffonade,fresh basil (preferably a mix of green and purple basil) cut into chiffonade,"""02044"""
840,884,1-5 pound duck,duck,"""05139"""
841,885,1/2 cup white wine vinegar,white wine vinegar,"""02053"""
842,886,1/2 cup apricot jam,apricot jam,"""19719"""
843,887,1 tablespoon soy sauce,soy sauce,"""16124"""
844,888,2 tablespoons toasted Szechuan peppercorns*,toasted szechuan peppercorns,"""02031"""
845,889,2 medium firm-ripe avocados,firmripe avocados,"""09038"""
846,890,4 cups moderately packed mixed young savory greens such as arugula red mustard,moderately packed mixed young savory greens such as arugula red mustard,"""11959"""
847,891,mizuna cress etc.,mizuna cress etc,"""11250"""
848,892,Pistachio oil vinaigrette (recipe follows),pistachio oil vinaigrette (recipe follows),"""04135"""
849,893,Garnish: Very thinly sliced parsnips which have been deep-fried until golden and crisp,garnish: very thinly sliced parsnips which have been deepfried until golden and crisp,"""11298"""
850,895,1 cup golden raisins packed tightly,golden raisins packed tightly,"""09297"""
851,896,1/2 cup rum,rum,"""14037"""
852,897,4 tablespoons brown sugar,brown sugar,"""19334"""
853,898,3 tablespoons butter,butter,"""01001"""
854,899,1/2 teaspoon fresh lemon juice,fresh lemon juice,"""09152"""
855,900,4 Bosc pears,bosc pears,"""09414"""
856,901,1 pint mascarpone,mascarpone,"""01017"""
857,902,1 cup light rum,light rum,"""14037"""
858,903,1/2 cup hot water,hot water,"""14411"""
859,904,1 cup sugar packed,sugar packed,"""19335"""
860,905,1 cup golden raisins packed tightly,golden raisins packed tightly,"""09297"""
861,906,1 tablespoon lemon juice,lemon juice,"""09152"""
862,907,4 amaretto cookies crumbled,amaretto cookies crumbled,"""18204"""
863,908,1 (3- to 4-ounce) link of Spanish chorizo (spicy cured pork sausage) coarsely chopped,( toounce) link of spanish chorizo (spicy cured pork sausage) coarsely chopped,"""07019"""
864,909,1 medium onion chopped,onion chopped,"""11282"""
865,910,1 large garlic clove finely chopped,garlic clove finely chopped,"""11215"""
866,911,1/2 green bell pepper chopped,green bell pepper chopped,"""11333"""
867,912,1/4 teaspoon dried hot red pepper flakes,dried hot red pepper flakes,"""07019"""
868,913,1/2 teaspoon ground cumin,ground cumin,"""02014"""
869,914,1/4 teaspoon salt,salt,"""02047"""
870,915,2 tablespoons olive oil,olive oil,"""44005"""
871,916,2 1/2 to 3 cups chicken broth,to chicken broth,"""06194"""
872,917,2 (15- to 19-ounce) cans black beans rinsed and drained,( toounce) black beans rinsed and drained,"""16014"""
873,919,24 chocolate sandwich cookies,chocolate sandwich cookies,"""18199"""
874,920,4 tablespoons salted butter melted,salted butter melted,"""01001"""
875,921,1 1/2 cups brown sugar,brown sugar,"""19334"""
876,922,1/4 cup cornstarch,cornstarch,"""20027"""
877,923,1/4 teaspoon salt,salt,"""02047"""
878,924,3 cups whole milk,whole milk,"""01077"""
879,925,4 large egg yolks,egg yolks,"""01125"""
880,926,2 tablespoons salted butter,salted butter,"""01001"""
881,927,4 tablespoons chopped toffee candy bar for topping.,chopped toffee candy bar for topping,"""19383"""
882,928,32 ounces fresh whipping cream,fresh whipping cream,"""01054"""
883,929,1 cup sugar,sugar,"""19335"""
884,930,Two 4-ounce packages instant chocolate pudding mix,twoounce packages instant chocolate pudding mix,"""19184"""
885,931,2 pints fresh raspberries rinsed,fresh raspberries rinsed,"""09302"""
886,933,6 ounces bittersweet chocolate coarsely chopped,bittersweet chocolate coarsely chopped,"""19904"""
887,934,2 ounces unsweetened chocolate coarsely chopped,unsweetened chocolate coarsely chopped,"""19904"""
888,935,2 teaspoons instant espresso powder such as Medaglia DOro,instant espresso powder such as medaglia doro,"""14214"""
889,936,1/4 cup plus 2 tablespoons all-purpose flour,plus allpurpose flour,"""20581"""
890,937,1/4 teaspoon baking powder,baking powder,"""18371"""
891,938,1/4 teaspoon fine salt,fine salt,"""02047"""
892,939,3/4 stick (6 tablespoons) unsalted butter slightly softened,( tablespoons) unsalted butter slightly softened,"""01145"""
893,940,1/2 cup granulated sugar,granulated sugar,"""19335"""
894,941,1/4 cup packed light brown sugar,packed light brown sugar,"""19334"""
895,942,2 large eggs,eggs,"""01123"""
896,943,2 teaspoons vanilla extract,vanilla extract,"""02050"""
897,944,1 cup toasted pecans coarsely chopped,toasted pecans coarsely chopped,"""12142"""
898,945,1/2 cup semisweet chocolate chips,semisweet chocolate chips,"""19904"""
899,946,1/2 cup best-quality white chocolate chips,bestquality white chocolate chips,"""19087"""
900,947,2 tablespoons extra-virgin olive oil,extravirgin olive oil,"""04708"""
901,948,1 medium onion diced,onion diced,"""11282"""
902,949,1/2 medium head fennel diced,head fennel diced,"""11957"""
903,950,4 cloves garlic smashed,cloves garlic smashed,"""11215"""
904,951,1/4 teaspoon red pepper flakes or to taste,red pepper flakes or to taste,"""02031"""
905,952,Pinch saffron threads,pinch saffron threads,"""02037"""
906,953,3/4 cups dry white vermouth,dry white vermouth,"""14037"""
907,954,1 (14-ounce) can plum tomatoes with their juice,(ounce) plum tomatoes with their juice,"""11885"""
908,955,3/4 cup water,water,"""14411"""
909,957,1 bay leaf,bay leaf,"""02004"""
910,958,12 littleneck clams scrubbed,littleneck clams scrubbed,"""15157"""
911,959,8 ounces medium sea scallops foot removed if necessary,sea scallops foot removed if necessary,"""15172"""
912,960,8 ounces medium shrimp peeled and deveined,shrimp peeled and deveined,"""15270"""
913,961,1 teaspoon red wine vinegar,red wine vinegar,"""02068"""
914,962,1/4 cup chopped fresh parsley leaves,chopped fresh parsley leaves,"""11297"""
915,963,Kosher salt,kosher salt,"""02047"""
916,964,5 ounces cream cheese at room temperature,cream cheese at room temperature,"""01017"""
917,965,1 1/2 tablespoons chopped fresh chives,chopped fresh chives,"""11156"""
918,966,2 teaspoons prepared cream-style horseradish,prepared creamstyle horseradish,"""27066"""
919,967,1/4 teaspoon freshly ground black pepper,freshly ground black pepper,"""02030"""
920,968,1/4 teaspoon kosher salt,kosher salt,"""02047"""
921,969,2 teaspoons drained capers coarsely chopped,drained capers coarsely chopped,"""02054"""
922,971,4 slices pumpernickel bread,pumpernickel bread,"""18044"""
923,972,1/2 bunch watercress stems removed,bunch watercress stems removed,"""11591"""
924,973,8 ounces thinly sliced smoked salmon,thinly sliced smoked salmon,"""15077"""
925,974,6 fresh chives cut into twenty-four 1-inch pieces for garnish,fresh chives cut into twentyfourinch pieces for,"""11156"""
926,975,1 15-ounce can cannellini (white kidney beans) drained,cannellini (white kidney beans) drained,"""16037"""
927,976,2 tablespoons olive oil,olive oil,"""44005"""
928,977,1 tablespoon balsamic vinegar plus extra for drizzling,balsamic vinegar plus extra for drizzling,"""02069"""
929,978,Oil from jar of sun-dried tomatoes,oil from jar of sundried tomatoes,"""44005"""
930,980,Pita bread cut into wedges,pita bread cut into wedges,"""18041"""
931,981,12 ounces medium red-skinned potatoes cut into 1/2-inch wedges,redskinned potatoes cut intoinch wedges,"""11355"""
932,982,2 tablespoons extra-virgin olive oil,extravirgin olive oil,"""04708"""
933,983,Kosher salt,kosher salt,"""02047"""
934,984,1/2 cup grated dill havarti cheese (about 2 ounces),grated dill havarti cheese (about ounces),"""01030"""
935,985,1 bunch scallions chopped,bunch scallions chopped,"""11291"""
936,986,1/2 cup mayonnaise,mayonnaise,"""42138"""
937,987,1/3 cup chili sauce,chili sauce,"""06961"""
938,988,1 cup chopped half-sour pickles plus 1 tablespoon pickle juice,chopped halfsour pickles plus pickle juice,"""11937"""
939,989,1 5-ounce container baby kale (about 8 cups),container baby kale (about cups),"""11233"""
940,990,1/2 head iceberg lettuce cut into 1-inch pieces,head iceberg lettuce cut intoinch pieces,"""11252"""
941,991,1 pint cherry tomatoes halved,cherry tomatoes halved,"""11529"""
942,992,1/2 pound deli-sliced roast beef torn,delisliced roast beef torn,"""07043"""
943,993,1/2 pound deli-sliced roast turkey torn,delisliced roast turkey torn,"""07944"""
944,994,10 pieces fresh Moorea pineapple plus more for garnish,pieces fresh moorea pineapple plus more for,"""09266"""
945,995,1/2 tablespoon triple sec such as Cointreau,triple sec such as cointreau,"""14037"""
946,996,3 tablespoons vodka house-infused with Tahaa vanilla,vodka houseinfused with tahaa vanilla,"""14037"""
947,998,2 large ripe avocados peeled pitted,ripe avocados peeled pitted,"""09038"""
948,999,2 cups (or more) purchased thick salsa (mild or medium-hot),(or more) purchased thick salsa (mild or mediumhot),"""06164"""
949,1000,1 head red leaf lettuce torn into bite-size pieces,head red leaf lettuce torn into bitesize pieces,"""11257"""
950,1001,3 cups shredded cooked chicken or turkey,shredded cooked chicken or turkey,"""05057"""
951,1002,3 cups broken tortilla chips,broken tortilla chips,"""25028"""
952,1003,1 15-ounce can black beans rinsed drained,black beans rinsed drained,"""16014"""
953,1004,4 green onions chopped,green onions chopped,"""11291"""
954,1005,1 small green bell pepper chopped,green bell pepper chopped,"""11333"""
955,1006,1 cup (packed) grated sharp cheddar cheese,(packed) grated sharp cheddar cheese,"""01270"""
956,1007,4 tablespoons butter,butter,"""01001"""
957,1008,Salt,salt,"""02047"""
958,1009,1 large leek white part sliced,leek white part sliced,"""11246"""
959,1010,Pepper,pepper,"""02030"""
960,1011,2 large Spanish onions sliced,spanish onions sliced,"""11294"""
961,1012,3/4 cup red wine,red wine,"""14096"""
962,1013,4 shallots sliced,shallots sliced,"""11677"""
963,1014,6 cups low sodium beef stock warmed,low sodium beef stock warmed,"""06170"""
964,1015,Pinch of sugar,pinch of sugar,"""19335"""
965,1016,1 teaspoon nutmeg,nutmeg,"""02025"""
966,1017,1/2 lb Swiss cheese grated,swiss cheese grated,"""01040"""
967,1018,4 slices sourdough bread,sourdough bread,"""18029"""
968,1019,2 (8-ounce) airline chicken breasts (boneless skin-on breast with the first wing joint attached),(ounce) airline chicken breasts (boneless skinon breast with the first wing joint attached),"""05057"""
969,1020,1 egg beaten,egg beaten,"""01123"""
970,1021,2 cups cornflakes,cornflakes,"""08506"""
971,1022,2 teaspoons freshly minced sage (mixed with cornflakes),freshly minced sage (mixed with cornflakes),"""02038"""
972,1023,Nonstick cooking spray,nonstick cooking spray,"""04679"""
973,1024,5 cups all-purpose flour,allpurpose flour,"""20581"""
974,1025,1/4 cup sugar,sugar,"""19335"""
975,1026,1 1/2 tablespoons baking powder,baking powder,"""18371"""
976,1027,2 tablespoons salt,salt,"""02047"""
977,1028,3 eggs,eggs,"""01123"""
978,1029,2 cups buttermilk,buttermilk,"""01230"""
979,1030,2 cups milk,milk,"""01077"""
980,1031,2 tablespoons vanilla extract,vanilla extract,"""02050"""
981,1032,1/2 cup melted unsalted butter,melted unsalted butter,"""01145"""
982,1033,4 slices hardwood bacon cooked,hardwood bacon cooked,"""10123"""
983,1035,Maple Syrup optional,maple syrup optional,"""19353"""
984,1038,2 cups pre-shredded carrots,preshredded carrots,"""11124"""
985,1039,3 tablespoons storebought ginger dressing,storebought ginger dressing,"""04135"""
986,1040,1/3 lb. spinach leaves washed,spinach leaves washed,"""11457"""
987,1041,1/2 pt. fresh strawberries sliced,fresh strawberries sliced,"""09316"""
988,1042,1 kiwi sliced,kiwi sliced,"""09148"""
989,1043,1 Tbsp. slivered almonds,tbsp slivered almonds,"""12061"""
990,1044,1 tsp. Mrs. Dash® Lemon Pepper,mrs dash® lemon pepper,"""02030"""
991,1045,1 Tbsp. SugarTwin® Granulated White,tbsp sugartwin® granulated white,"""19335"""
992,1046,2 Tbsp. vegetable oil,tbsp vegetable oil,"""04513"""
993,1047,2 Tbsp. rice vinegar,tbsp rice vinegar,"""02068"""
994,1048,Kosher salt,kosher salt,"""02047"""
995,1049,8 ounces elbow macaroni,elbow macaroni,"""20120"""
996,1050,2 tablespoons unsalted butter,unsalted butter,"""01145"""
997,1051,2 tablespoons all-purpose flour,allpurpose flour,"""20581"""
998,1052,1 teaspoon mustard powder,mustard powder,"""02024"""
999,1053,1/4 teaspoon paprika,paprika,"""02028"""
1000,1054,1 1/2 cups whole milk,whole milk,"""01077"""
1001,1055,1 1/2 cups grated sharp yellow cheddar cheese (about 4 ounces),grated sharp yellow cheddar cheese (about ounces),"""01270"""
1002,1056,3 ounces sliced American cheese diced (about 1/2 cup),sliced american cheese diced (about cup),"""43278"""
1003,1057,2 ounces cream cheese cut into small pieces,cream cheese cut into pieces,"""01017"""
1004,1058,4 (3/4-inch thick) pork loin chops,(inch thick) pork loin chops,"""10036"""
1005,1059,1/2 cup Dijon mustard,dijon mustard,"""02046"""
1006,1060,1/2 cup Italian bread crumbs,italian bread crumbs,"""18376"""
1007,1061,1 teaspoon salt,salt,"""02047"""
1008,1062,1 teaspoon pepper,pepper,"""02030"""
1009,1063,1/2 teaspoon cayenne pepper,cayenne pepper,"""02031"""
1010,1064,Canola oil spray,canola oil spray,"""04582"""
1011,1068,Crisco® Original No-Stick Cooking Spray,crisco® original nostick cooking spray,"""04679"""
1012,1070,1/3 cup salted peanuts chopped,salted peanuts chopped,"""16087"""
1013,1072,4 tbsps. butter softened,tbsps butter softened,"""01001"""
1014,1073,1/2 cup Jif® Creamy Peanut Butter,jif® creamy peanut butter,"""16399"""
1015,1074,1 (3 oz.) package cream cheese,( oz) package cream cheese,"""01017"""
1016,1075,1/3 cup sugar,sugar,"""19335"""
1017,1076,3 tbsps. milk,tbsps milk,"""01077"""
1018,1077,2 cups frozen whipped topping thawed,frozen whipped topping thawed,"""01054"""
1019,1079,2 tbsps. Smuckers® Hot Fudge Microwaveable Topping warmed,tbsps smuckers® hot fudge microwaveable topping warmed,"""19348"""
1020,1080,24 chicken wings,chicken wings,"""05100"""
1021,1081,1/2 cup butter,butter,"""01001"""
1022,1082,1 cup hot sauce,hot sauce,"""06168"""
1023,1083,Vegetable oil for frying,vegetable oil for frying,"""04513"""
1024,1084,8 ounces ranch style dressing,ranch style dressing,"""04639"""
1025,1085,1/4 cup crumbled blue cheese,crumbled blue cheese,"""01004"""
1026,1086,1/4 teaspoon cayenne pepper,cayenne pepper,"""02031"""
1027,1087,2 cups water,water,"""14411"""
1028,1088,1/3 cup sugar,sugar,"""19335"""
1029,1089,1/3 cup honey,honey,"""19296"""
1030,1090,1 1/2 teaspoons vanilla extract,vanilla extract,"""02050"""
1031,1091,2 cups pancake and waffle mix (recommended: Krusteaz),pancake and waffle mix (recommended: krusteaz),"""18293"""
1032,1092,1 cup whole milk ricotta cheese,whole milk ricotta cheese,"""01036"""
1033,1093,2/3 cup frozen blueberries,frozen blueberries,"""09055"""
1034,1094,Melted butter,melted butter,"""01001"""
1035,1095,4 pints grape tomatoes red or mixed colors,grape tomatoes red or mixed colors,"""11529"""
1036,1096,1 1/2 cups small-diced red onion (2 onions),smalldiced red onion ( onions),"""11282"""
1037,1097,1/4 cup good white wine vinegar,good white wine vinegar,"""02053"""
1038,1098,6 tablespoons good olive oil,good olive oil,"""44005"""
1039,1099,1 tablespoon kosher salt,kosher salt,"""02047"""
1040,1100,1 teaspoon freshly ground black pepper,freshly ground black pepper,"""02030"""
1041,1101,1/4 cup chopped fresh basil leaves,chopped fresh basil leaves,"""02044"""
1042,1102,1/4 cup chopped fresh parsley leaves,chopped fresh parsley leaves,"""11297"""
1043,1103,1 1/2 pounds feta cheese,feta cheese,"""01019"""
1044,1104,2 tablespoons Worcestershire sauce,worcestershire sauce,"""06971"""
1045,1105,2 tablespoons fresh lemon juice,fresh lemon juice,"""09152"""
1046,1106,2 tablespoons olive oil,olive oil,"""44005"""
1047,1107,1 garlic clove minced,garlic clove minced,"""11215"""
1048,1108,2 teaspoons sugar,sugar,"""19335"""
1049,1109,1 pound flank steak (3/4 inch thick),flank steak ( thick),"""13970"""
1050,1110,1 medium shallot finely chopped,shallot finely chopped,"""11677"""
1051,1111,3 tablespoons red-wine vinegar,redwine vinegar,"""02068"""
1052,1112,1/2 teaspoon Dijon mustard,dijon mustard,"""02046"""
1053,1113,4 tablespoons extra-virgin olive oil divided,extravirgin olive oil divided,"""04708"""
1054,1114,1 very large red onion halved and sliced 1/3 inch thick,very red onion halved and sliced thick,"""11282"""
1055,1115,3/4 pound bitter greens such as escarole or frisée or a combination,bitter greens such as escarole or frisée or a combination,"""11214"""
1056,1117,2 vanilla beans,vanilla beans,"""02050"""
1057,1118,3 cups heavy cream,heavy cream,"""01053"""
1058,1119,1 cup whole milk,whole milk,"""01077"""
1059,1120,1 1/2 cups sugar,sugar,"""19335"""
1060,1121,3 large eggs,eggs,"""01123"""
1061,1122,10 ounces boneless pork shoulder,boneless pork shoulder,"""10070"""
1062,1123,1 teaspoon baking soda,baking soda,"""18372"""
1063,1124,2 tablespoons tomato puree,tomato puree,"""11547"""
1064,1125,1 tablespoon Chinese dark vinegar*,chinese dark vinegar,"""02068"""
1065,1126,1 tablespoon chili paste with garlic*,chili paste with garlic,"""06961"""
1066,1127,1 tablespoon water,water,"""14411"""
1067,1128,1 tablespoon sugar,sugar,"""19335"""
1068,1129,2 teaspoons Shoa Hsing or dry sherry,shoa hsing or dry sherry,"""14536"""
1069,1130,2 teaspoons thin soy sauce,thin soy sauce,"""16124"""
1070,1131,1 teaspoon sesame oil,sesame oil,"""04058"""
1071,1133,1 teaspoon cornstarch (mixed with a few drops of water),cornstarch (mixed with a few drops of water),"""20027"""
1072,1134,1/4 cup dried tree ears*,dried tree ears,"""11268"""
1073,1135,4 cups peanut oil,peanut oil,"""44005"""
1074,1136,2 stalks celery shredded,stalks celery shredded,"""11143"""
1075,1137,2 tablespoons garlic minced,garlic minced,"""11215"""
1076,1138,1 tablespoon ginger root minced,ginger root minced,"""11216"""
1077,1139,5 scallions finely chopped,scallions finely chopped,"""11291"""
1078,1140,7 water chestnuts diced,water chestnuts diced,"""11588"""
1079,1141,Cooking spray or butter for the pan,cooking spray or butter for the pan,"""04679"""
1080,1142,1 (13-ounce) container Nutella,(ounce) container nutella,"""19125"""
1081,1143,12 (3/4-inch) thick slices brioche or egg bread,(inch) thick brioche or egg bread,"""28318"""
1082,1144,8 large eggs,eggs,"""01123"""
1083,1145,2 cups cream,cream,"""01049"""
1084,1146,2 cups whole milk,whole milk,"""01077"""
1085,1147,2 cups sugar,sugar,"""19335"""
1086,1148,1/4 cup hazelnut liqueur (recommended: Frangelico) or amaretto,hazelnut liqueur (recommended: frangelico) or amaretto,"""14037"""
1087,1149,1 tablespoon vanilla extract,vanilla extract,"""02050"""
1088,1150,1/2 teaspoon almond extract,almond extract,"""04529"""
1089,1151,3 ripe bananas,ripe bananas,"""09040"""
1090,1152,5 medium sweet potatoes scrubbed,sweet potatoes scrubbed,"""11507"""
1091,1153,4 bananas unpeeled,bananas unpeeled,"""09040"""
1092,1154,1 cup (2 sticks) unsalted butter at room temperature,( sticks) unsalted butter at room temperature,"""01145"""
1093,1155,1/4 cup honey,honey,"""19296"""
1094,1156,Kosher salt,kosher salt,"""02047"""
1095,1157,3/4 cup dark brown sugar,dark brown sugar,"""19334"""
1096,1158,1/2 cup all-purpose flour,allpurpose flour,"""20581"""
1097,1159,1 1/2 cups chopped pecans,chopped pecans,"""12142"""
1098,1160,3 eggs,eggs,"""01123"""
1099,1161,3/4 cup milk,milk,"""01077"""
1100,1162,1 tablespoon caster sugar (superfine),caster sugar (superfine),"""19335"""
1101,1163,1 pinch salt,salt,"""02047"""
1102,1164,1 tablespoon unsalted butter,unsalted butter,"""01145"""
1103,1165,8 slices white bread,white bread,"""18967"""
1104,1166,3 1/2 ounces dark or milk chocolate chopped,dark or milk chocolate chopped,"""19904"""
1105,1168,1/2 stick (4 tablespoons) butter,( tablespoons) butter,"""01001"""
1106,1169,Pinch salt,pinch salt,"""02047"""
1107,1170,1/2 cup all-purpose flour,allpurpose flour,"""20581"""
1108,1171,2 eggs,eggs,"""01123"""
1109,1172,Pinch ground cinnamon,pinch ground cinnamon,"""02010"""
1110,1173,4 ounces semisweet or dark chocolate,semisweet or dark chocolate,"""19080"""
1111,1174,1/4 cup heavy cream,heavy cream,"""01053"""
1112,1175,2 tablespoons butter,butter,"""01001"""
1113,1176,1 tablespoon corn syrup,corn syrup,"""19351"""
1114,1177,1 good pinch ground cinnamon,good ground cinnamon,"""02010"""
1115,1178,High-quality vanilla coffee or dulce de leche ice cream for filling,highquality vanilla coffee or dulce de leche ice cream for filling,"""19095"""
1116,1179,1 oz. vodka,vodka,"""14037"""
1117,1180,3 oz. carrot juice freshly squeezed if possible,carrot juice freshly squeezed if possible,"""11655"""
1118,1181,1 oz. organic apple juice,organic apple juice,"""03166"""
