,original_text,NDB_ID,Description
1017,Vegetable oil for frying,"""04513""","vegetable oil, palm kernel"
1018,8 ounces ranch style dressing,"""04639""","salad dressing, ranch dressing, regular"
1019,1/4 cup crumbled blue cheese,"""01004""","cheese, blue"
1020,1/4 teaspoon cayenne pepper,"""02031""","spices, pepper, red or cayenne"
1021,2 cups water,"""14411""","beverages, water, tap, drinking"
1022,1/3 cup sugar,"""19335""","sugars, granulated"
1023,1/3 cup honey,"""19296""",honey
1024,1 1/2 teaspoons vanilla extract,"""02050""",vanilla extract
1025,2 cups pancake and waffle mix (recommended: Krusteaz),"""18293""","pancakes, plain, prepared from recipe"
1026,1 cup whole milk ricotta cheese,"""01036""","cheese, ricotta, whole milk"
1027,2/3 cup frozen blueberries,"""09055""","blueberries, frozen, sweetened"
1028,Melted butter,"""01001""","butter, salted"
1029,4 pints grape tomatoes red or mixed colors,"""11529""","tomatoes, red, ripe, raw, year round average"
1030,1 1/2 cups small-diced red onion (2 onions),"""11282""","onions, raw"
1031,1/4 cup good white wine vinegar,"""02053""","vinegar, distilled"
1032,6 tablespoons good olive oil,"""44005""","oil, corn, peanut, and olive"
1033,1 tablespoon kosher salt,"""02047""","salt, table"
1034,1 teaspoon freshly ground black pepper,"""02030""","spices, pepper, black"
1035,1/4 cup chopped fresh basil leaves,"""02044""","basil, fresh"
1036,1/4 cup chopped fresh parsley leaves,"""11297""","parsley, fresh"
1037,1 1/2 pounds feta cheese,"""01019""","cheese, feta"
1038,2 tablespoons Worcestershire sauce,"""06971""","sauce, worcestershire"
1039,2 tablespoons fresh lemon juice,"""09152""","lemon juice, raw"
1040,2 tablespoons olive oil,"""44005""","oil, corn, peanut, and olive"
1041,1 garlic clove minced,"""11215""","garlic, raw"
1042,2 teaspoons sugar,"""19335""","sugars, granulated"
1043,1 pound flank steak (3/4 inch thick),"""13970""","beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, raw"
1044,1 medium shallot finely chopped,"""11677""","shallots, raw"
1045,3 tablespoons red-wine vinegar,"""02068""","vinegar, red wine"
1046,1/2 teaspoon Dijon mustard,"""02046""","mustard, prepared, yellow"
1047,4 tablespoons extra-virgin olive oil divided,"""04708""","mayonnaise, reduced fat, with olive oil"
1048,1 very large red onion halved and sliced 1/3 inch thick,"""11282""","onions, raw"
1049,3/4 pound bitter greens such as escarole or frisée or a combination,"""11214""","escarole, cooked, boiled, drained, no salt added"
1050,2 vanilla beans,"""02050""",vanilla extract
1051,3 cups heavy cream,"""01053""","cream, fluid, heavy whipping"
1052,1 cup whole milk,"""01077""","milk, whole, 3.25% milkfat, with added vitamin d"
1053,1 1/2 cups sugar,"""19335""","sugars, granulated"
1054,3 large eggs,"""01123""","egg, whole, raw, fresh"
1055,10 ounces boneless pork shoulder,"""10070""","pork, fresh, shoulder, whole, separable lean and fat, raw"
1056,1 teaspoon baking soda,"""18372""","leavening agents, baking soda"
1057,2 tablespoons tomato puree,"""11547""","tomato products, canned, puree, without salt added"
1058,1 tablespoon Chinese dark vinegar*,"""02068""","vinegar, red wine"
1059,1 tablespoon chili paste with garlic*,"""06961""","sauce, peppers, hot, chili, mature red, canned"
1060,1 tablespoon water,"""14411""","beverages, water, tap, drinking"
1061,1 tablespoon sugar,"""19335""","sugars, granulated"
1062,2 teaspoons Shoa Hsing or dry sherry,"""14536""","alcoholic beverage, wine, dessert, dry"
1063,2 teaspoons thin soy sauce,"""16124""",soy sauce made from soy (tamari)
1064,1 teaspoon sesame oil,"""04058""","oil, sesame, salad or cooking"
1065,1 teaspoon cornstarch (mixed with a few drops of water),"""20027""",cornstarch
1066,1/4 cup dried tree ears*,"""11268""","mushrooms, shiitake, dried"
1067,4 cups peanut oil,"""44005""","oil, corn, peanut, and olive"
1068,2 stalks celery shredded,"""11143""","celery, raw"
1069,2 tablespoons garlic minced,"""11215""","garlic, raw"
1070,1 tablespoon ginger root minced,"""11216""","ginger root, raw"
1071,5 scallions finely chopped,"""11291""","onions, spring or scallions (includes tops and bulb), raw"
1072,7 water chestnuts diced,"""11588""","waterchestnuts, chinese, (matai), raw"
1073,Cooking spray or butter for the pan,"""04679""","oil, pam cooking spray, original"
1074,1 (13-ounce) container Nutella,"""19125""",chocolate-flavored hazelnut spread
1075,12 (3/4-inch) thick slices brioche or egg bread,"""28318""","bread, french or vienna, whole wheat"
1076,8 large eggs,"""01123""","egg, whole, raw, fresh"
1077,2 cups cream,"""01049""","cream, fluid, half and half"
1078,2 cups whole milk,"""01077""","milk, whole, 3.25% milkfat, with added vitamin d"
1079,2 cups sugar,"""19335""","sugars, granulated"
1080,1/4 cup hazelnut liqueur (recommended: Frangelico) or amaretto,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
1081,1 tablespoon vanilla extract,"""02050""",vanilla extract
1082,1/2 teaspoon almond extract,"""04529""","oil, almond"
1083,3 ripe bananas,"""09040""","bananas, raw"
1084,5 medium sweet potatoes scrubbed,"""11507""","sweet potato, raw, unprepared (includes foods for usda's food distribution program)"
1085,4 bananas unpeeled,"""09040""","bananas, raw"
1086,1 cup (2 sticks) unsalted butter at room temperature,"""01145""","butter, without salt"
1087,1/4 cup honey,"""19296""",honey
1088,Kosher salt,"""02047""","salt, table"
1089,3/4 cup dark brown sugar,"""19334""","sugars, brown"
1090,1/2 cup all-purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
1091,1 1/2 cups chopped pecans,"""12142""","nuts, pecans"
1092,3 eggs,"""01123""","egg, whole, raw, fresh"
1093,3/4 cup milk,"""01077""","milk, whole, 3.25% milkfat, with added vitamin d"
1094,1 tablespoon caster sugar (superfine),"""19335""","sugars, granulated"
1095,1 pinch salt,"""02047""","salt, table"
1096,1 tablespoon unsalted butter,"""01145""","butter, without salt"
1097,8 slices white bread,"""18967""","bread, white wheat"
1098,3 1/2 ounces dark or milk chocolate chopped,"""19904""","chocolate, dark, 70-85% cacao solids"
1099,1/2 stick (4 tablespoons) butter,"""01001""","butter, salted"
1100,Pinch salt,"""02047""","salt, table"
1101,1/2 cup all-purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
1102,2 eggs,"""01123""","egg, whole, raw, fresh"
1103,Pinch ground cinnamon,"""02010""","spices, cinnamon, ground"
1104,4 ounces semisweet or dark chocolate,"""19080""","candies, semisweet chocolate"
1105,1/4 cup heavy cream,"""01053""","cream, fluid, heavy whipping"
1106,2 tablespoons butter,"""01001""","butter, salted"
1107,1 tablespoon corn syrup,"""19351""","syrups, corn, high-fructose"
1108,1 good pinch ground cinnamon,"""02010""","spices, cinnamon, ground"
1109,High-quality vanilla coffee or dulce de leche ice cream for filling,"""19095""","ice creams, vanilla"
1110,1 oz. vodka,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
1111,3 oz. carrot juice freshly squeezed if possible,"""11655""","carrot juice, canned"
1112,1 oz. organic apple juice,"""03166""","babyfood, juice, apple"
1113,2 thin slices of fresh ginger* (See Cooks Note),"""11216""","ginger root, raw"
1114,32 ounces low-fat or non-fat yogurt,"""01117""","yogurt, plain, low fat"
1115,2 1/2 pounds boiling potatoes,"""11352""","potatoes, flesh and skin, raw"
1116,1 ounce dried tomatoes (about 1/2 cup),"""11955""","tomatoes, sun-dried"
1117,2 pounds zucchini (about 4 medium),"""11477""","squash, summer, zucchini, includes skin, raw"
1118,10 Kalamata or other brine-cured black olives,"""09193""","olives, ripe, canned (small-extra large)"
1119,4 garlic cloves,"""11215""","garlic, raw"
1120,2 teaspoons olive oil,"""44005""","oil, corn, peanut, and olive"
1121,1 cup dark raisins,"""09299""","raisins, seeded"
1122,Italian Grappa enough to cover raisins plus 2 tablespoons warmed,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
1123,8 ounces bittersweet or semisweet chocolate coarsely chopped plus 12 ounces cut into small chunks (1/4 to 1/2-inch),"""19120""","candies, milk chocolate"
1124,1 cup all-purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
1125,2 tablespoons Dutch process cocoa powder,"""19165""","cocoa, dry powder, unsweetened"
1126,1 teaspoon baking powder,"""18371""","leavening agents, baking powder, low-sodium"
1127,1/4 teaspoon salt,"""02047""","salt, table"
1128,1/2 cup unsalted butter room temperature,"""01145""","butter, without salt"
1129,1/2 cup dark brown sugar,"""19334""","sugars, brown"
1130,3/4 cup white granulated sugar,"""19335""","sugars, granulated"
1131,2 eggs,"""01123""","egg, whole, raw, fresh"
1132,1 1/2 teaspoons pure vanilla extract,"""02050""",vanilla extract
1133,2 sheets frozen puff pastry (one 17.3-ounce package) thawed,"""18337""","puff pastry, frozen, ready-to-bake"
1134,1 cup diced ham,"""10149""","pork, cured, ham, steak, boneless, extra lean, unheated"
1135,2 cups coarsely grated Swiss cheese,"""01040""","cheese, swiss"
1136,2 cups sliced mushrooms,"""11260""","mushrooms, white, raw"
1137,2 large eggs,"""01123""","egg, whole, raw, fresh"
1138,1 tablespoon chopped fresh rosemary,"""02063""","rosemary, fresh"
1139,1/2 teaspoon ground black pepper,"""02030""","spices, pepper, black"
1140,1/2 teaspoon salt,"""02047""","salt, table"
1141,1/4 teaspoon ground nutmeg,"""02025""","spices, nutmeg, ground"
1142,1 cup sour cream,"""01056""","cream, sour, cultured"
1143,2 sweet potatoes (kumara) (800 grams) peeled and chopped into 3/4-inch cubes,"""11507""","sweet potato, raw, unprepared (includes foods for usda's food distribution program)"
1144,2 tablespoons extra virgin olive oil plus extra for drizzling,"""04708""","mayonnaise, reduced fat, with olive oil"
1145,1 teaspoon sea salt flakes,"""02047""","salt, table"
1146,2 cups (340 grams) cooked quinoa preferabbly black plus extra for sprinkling,"""20137""","quinoa, cooked"
1147,2 tablespoons linseeds (flaxseeds),"""04517""","oil, grapeseed"
1148,2 tablespoons store-bought caramelized onion,"""11282""","onions, raw"
1149,1 3/4 cups (420 grams) fresh ricotta,"""01036""","cheese, ricotta, whole milk"
1150,1 1/2 cups (120 grams) finely grated Parmesan,"""01033""","cheese, parmesan, hard"
1151,2 tablespoons thyme leaves,"""02049""","thyme, fresh"
1152,2 eggs,"""01123""","egg, whole, raw, fresh"
1153,Cracked black pepper,"""02030""","spices, pepper, black"
1154,150 grams goat cheese sliced,"""01159""","cheese, goat, soft type"
1155,6 sprigs thyme extra,"""02049""","thyme, fresh"
1156,1 large piece salt pork,"""10165""","pork, cured, salt pork, raw"
1157,1 cup water,"""14411""","beverages, water, tap, drinking"
1158,1 large onion chopped,"""11282""","onions, raw"
1159,8 red potatoes skin on diced small,"""11355""","potatoes, red, flesh and skin, raw"
1160,4 cups clam juice,"""14187""","beverages, clam and tomato juice, canned"
1161,3 pounds chopped Essex clams,"""15157""","mollusks, clam, mixed species, raw"
1162,2 tablespoons butter,"""01001""","butter, salted"
1163,Dash salt,"""02047""","salt, table"
1164,Freshly ground pepper,"""02030""","spices, pepper, black"
1165,1 quart cream,"""01049""","cream, fluid, half and half"
1166,Flour to thicken,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
1167,1 1/2 cups all-purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
1168,1/2 cup Dutch-process cocoa powder plus more for dusting (optional),"""19165""","cocoa, dry powder, unsweetened"
1169,1/2 cup sugar,"""19335""","sugars, granulated"
1170,1/2 cup malted milk powder,"""14312""","beverages, malted drink mix, natural, powder, prepared with whole milk"
1171,1/4 teaspoon baking soda,"""18372""","leavening agents, baking soda"
1172,1/4 teaspoon salt,"""02047""","salt, table"
1173,1 teaspoon vanilla extract,"""02050""",vanilla extract
1174,12 tablespoons unsalted butter cut into 1/2-inch pieces at room temperature,"""01145""","butter, without salt"
1175,4 ounces white chocolate coarsely chopped,"""19087""","candies, white chocolate"
1176,2 tablespoons malted milk powder,"""14312""","beverages, malted drink mix, natural, powder, prepared with whole milk"
1177,Pinch of salt,"""02047""","salt, table"
1178,1/2 teaspoon vanilla extract,"""02050""",vanilla extract
1179,1/2 cup heavy cream,"""01053""","cream, fluid, heavy whipping"
1180,Nonstick cooking spray or butter for greasing,"""04679""","oil, pam cooking spray, original"
1181,2 cups heavy cream,"""01053""","cream, fluid, heavy whipping"
1182,2 cups whole milk,"""01077""","milk, whole, 3.25% milkfat, with added vitamin d"
1183,3/4 cup light brown sugar,"""19334""","sugars, brown"
1184,1 teaspoon ground cinnamon,"""02010""","spices, cinnamon, ground"
1185,1 teaspoon kosher salt,"""02047""","salt, table"
1186,1 teaspoon vanilla extract,"""02050""",vanilla extract
1187,9 large egg yolks,"""01125""","egg, yolk, raw, fresh"
1188,3 1/2 cups Granny Smith apples peeled and chopped,"""09502""","apples, raw, granny smith, with skin (includes foods for usda's food distribution program)"
1189,3/4 cup pecans chopped and toasted,"""12142""","nuts, pecans"
1190,1 loaf challah bread cut or torn into 1-inch pieces (preferably stale),"""18029""","bread, french or vienna (includes sourdough)"
1191,Caramel Dessert Sauce recipe follows,"""19364""","toppings, butterscotch or caramel"
1192,Vanilla ice cream for serving,"""19095""","ice creams, vanilla"
1193,3/4 cup sugar,"""19335""","sugars, granulated"
1194,1/2 cup (1 stick) unsalted butter,"""01145""","butter, without salt"
1195,1/2 cup buttermilk,"""01230""","milk, buttermilk, fluid, whole"
1196,1 tablespoon light corn syrup,"""19350""","syrups, corn, light"
1197,1 teaspoon baking soda,"""18372""","leavening agents, baking soda"
1198,1 teaspoon vanilla extract,"""02050""",vanilla extract
1199,1/2 teaspoon ground cinnamon,"""02010""","spices, cinnamon, ground"
1200,Pinch salt,"""02047""","salt, table"
1201,9 thin slices whole-grain bread,"""28397""","bread, multi-grain (includes whole-grain)"
1202,3 tablespoons ricotta,"""01036""","cheese, ricotta, whole milk"
1203,1 teaspoon extra-virgin olive oil,"""04708""","mayonnaise, reduced fat, with olive oil"
1204,Pinch kosher salt,"""02047""","salt, table"
1205,3 thin slices prosciutto San Daniele halved lengthwise,"""10860""","pork, cured, bacon, cooked, baked"
1206,12 leaves baby arugula,"""11959""","arugula, raw"
1207,1/2 avocado thinly sliced,"""09038""","avocados, raw, california"
1208,2 teaspoons toasted quinoa (see Cooks Note),"""20137""","quinoa, cooked"
1209,1/4 teaspoon flaky sea salt,"""02047""","salt, table"
1210,1/8 teaspoon chile flakes,"""02031""","spices, pepper, red or cayenne"
1211,1 tablespoon extra-virgin olive oil,"""04708""","mayonnaise, reduced fat, with olive oil"
1212,2 tablespoon creme fraiche,"""01056""","cream, sour, cultured"
1213,2 teaspoons capers chopped,"""02054""","capers, canned"
1214,3 slices smoked wild salmon halved,"""15238""","fish, salmon, coho, farmed, raw"
1215,Twelve 1-inch pieces fresh chives,"""11156""","chives, raw"
1216,2 Tbs. butter,"""01001""","butter, salted"
1217,4 Tbs. brown sugar,"""19334""","sugars, brown"
1218,4 medium bananas sliced in half lengthwise,"""09040""","bananas, raw"
1219,1 cup all-purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
1220,1/3 -cup cocoa powder,"""19165""","cocoa, dry powder, unsweetened"
1221,1 tsp. baking powder,"""18371""","leavening agents, baking powder, low-sodium"
1222,1 tsp. baking soda,"""18372""","leavening agents, baking soda"
1223,1 tsp. ground cinnamon,"""02010""","spices, cinnamon, ground"
1224,1/3 -cup chocolate chips,"""19120""","candies, milk chocolate"
1225,1/2 -cup egg whites,"""01124""","egg, white, raw, fresh"
1226,1 cup brown sugar,"""19334""","sugars, brown"
1227,1 cup nonfat plain yogurt,"""01256""","yogurt, greek, plain, nonfat (includes foods for usda's food distribution program)"
1228,2 tsp. pure vanilla extract,"""02050""",vanilla extract
1229,16 tablespoons (2 sticks) unsalted butter softened,"""01145""","butter, without salt"
1230,3/4 cup sugar,"""19335""","sugars, granulated"
1231,1/4 teaspoon salt,"""02047""","salt, table"
1232,1 teaspoon vanilla extract,"""02050""",vanilla extract
1233,3 large egg yolks,"""01125""","egg, yolk, raw, fresh"
1234,2 1/2 cups all-purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
1235,2 ounces Jose Cuervo Reserva de la familia,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
1236,3/4 ounce Corano Marnier 150th Anniversary - Grand Marnier,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
1237,1 1/2 ounces fresh lime juice,"""09160""","lime juice, raw"
1238,6-pound lamb shoulder cut by butcher into 4 very thick chops about 1 1/2 pounds each,"""17035""","lamb, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/4"" fat, choice, raw"
1239,2 celery ribs cut in 1-inch chunks (about 2 cups),"""11143""","celery, raw"
1240,2 medium carrots cut in 1-inch chunks (about 2 cups),"""11124""","carrots, raw"
1241,2 medium onions cut in large chunks (about 3 cups),"""11282""","onions, raw"
1242,3-inch piece cinnamon stick,"""02010""","spices, cinnamon, ground"
1243,6 garlic cloves crushed and peeled,"""11215""","garlic, raw"
1244,4 small branches fresh rosemary,"""02063""","rosemary, fresh"
1245,8 fresh sage leaves,"""02038""","spices, sage, ground"
1246,1/2 teaspoon coarsely ground black pepper,"""02030""","spices, pepper, black"
1247,1 teaspoon coarse sea salt or kosher salt or more to taste,"""02047""","salt, table"
1248,2 cups dry white wine,"""14106""","alcoholic beverage, wine, table, white"
1249,1/3 cup red wine vinegar,"""02068""","vinegar, red wine"
1250,cup extra-virgin olive oil,"""04708""","mayonnaise, reduced fat, with olive oil"
1251,3 cups light stock (chicken turkey or vegetable broth) or more if needed,"""06172""","soup, stock, chicken, home-prepared"
1252,1 teaspoon amaretto,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
1253,2 teaspoons blue caracao,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
1254,1/2 cup Champagne chilled,"""14106""","alcoholic beverage, wine, table, white"
1255,2 medium heads garlic left whole,"""11215""","garlic, raw"
1256,1 tablespoon olive oil,"""44005""","oil, corn, peanut, and olive"
1257,1 1/2 cups mayonnaise,"""42138""","mayonnaise, reduced-calorie or diet, cholesterol-free"
1258,2 teaspoons apple-cider vinegar,"""02048""","vinegar, cider"
1259,1/2 teaspoon black pepper,"""02030""","spices, pepper, black"
1260,1/4 teaspoon salt,"""02047""","salt, table"
1261,3 tablespoons chopped fresh chives,"""11156""","chives, raw"
1262,2 lb medium asparagus trimmed,"""11011""","asparagus, raw"
1263,4 large egg whites at room temperature for 30 minutes,"""01124""","egg, white, raw, fresh"
1264,1/2 teaspoon cream of tartar,"""18373""","leavening agents, cream of tartar"
1265,1/8 teaspoon salt,"""02047""","salt, table"
1266,1/2 cup sugar,"""19335""","sugars, granulated"
1267,1/2 cup fresh lemon juice (from 2 medium lemons),"""09152""","lemon juice, raw"
1268,2/3 cup sugar,"""19335""","sugars, granulated"
1269,4 large egg yolks,"""01125""","egg, yolk, raw, fresh"
1270,2 whole large eggs,"""01123""","egg, whole, raw, fresh"
1271,1/4 teaspoon salt,"""02047""","salt, table"
1272,3/4 stick (6 tablespoons) unsalted butter cut into tablespoon pieces,"""01145""","butter, without salt"
1273,1 pint (2 cups) vanilla ice cream (preferably premium),"""19095""","ice creams, vanilla"
1274,2 cups ground chocolate wafer cookies,"""18157""","cookies, chocolate wafers"
1275,4 ounces semisweet chocolate chopped,"""19080""","candies, semisweet chocolate"
1276,5 tablespoons unsalted butter melted,"""01145""","butter, without salt"
1277,1 1/4 cups chilled whipping cream,"""01053""","cream, fluid, heavy whipping"
1278,1 1/4 teaspoons unflavored gelatin,"""19177""","gelatins, dry powder, unsweetened"
1279,9 ounces imported white chocolate (such as Lindt) chopped,"""19087""","candies, white chocolate"
1280,1/4 cup brandy,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
1281,1/2 cup sour cream,"""01056""","cream, sour, cultured"
1282,Baking spray for spraying custard cups,"""04679""","oil, pam cooking spray, original"
1283,1 stick butter,"""01001""","butter, salted"
1284,2 ounces bittersweet chocolate,"""19904""","chocolate, dark, 70-85% cacao solids"
1285,2 ounces semisweet chocolate,"""19080""","candies, semisweet chocolate"
1286,1 1/4 cups powdered sugar,"""19336""","sugars, powdered"
1287,2 whole eggs,"""01123""","egg, whole, raw, fresh"
1288,3 egg yolks,"""01125""","egg, yolk, raw, fresh"
1289,1 teaspoon vanilla,"""02050""",vanilla extract
1290,1/2 cup all-purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
1291,Vanilla ice cream for serving,"""19095""","ice creams, vanilla"
1292,8 cups unsweetened apple cider or apple juice,"""03166""","babyfood, juice, apple"
1293,1 1/2 pounds Granny Smith apples peeled cored cut into 1/3-inch cubes (about 4 1/2 cups),"""09502""","apples, raw, granny smith, with skin (includes foods for usda's food distribution program)"
1294,3/4 cup (packed) golden brown sugar,"""19334""","sugars, brown"
1295,1 3/4 cups all purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
1296,1 tablespoon ground ginger,"""02021""","spices, ginger, ground"
1297,1 teaspoon baking soda,"""18372""","leavening agents, baking soda"
1298,1 teaspoon ground cinnamon,"""02010""","spices, cinnamon, ground"
1299,1/4 teaspoon salt,"""02047""","salt, table"
1300,1/4 teaspoon ground cloves,"""02011""","spices, cloves, ground"
1301,1/4 teaspoon finely ground black pepper,"""02030""","spices, pepper, black"
1302,1/2 cup (1 stick) unsalted butter room temperature,"""01145""","butter, without salt"
1303,3/4 cup (packed) golden brown sugar,"""19334""","sugars, brown"
1304,1 large egg,"""01123""","egg, whole, raw, fresh"
1305,3/4 cup mild-flavored (light) molasses,"""19304""",molasses
1306,1/2 cup boiling water,"""14411""","beverages, water, tap, drinking"
1307,3 cups whole milk,"""01077""","milk, whole, 3.25% milkfat, with added vitamin d"
1308,2 4-inch-long pieces fresh ginger (about 4 ounces) peeled thickly sliced,"""11216""","ginger root, raw"
1309,1 tablespoon whole black peppercorns,"""02030""","spices, pepper, black"
1310,4 large eggs,"""01123""","egg, whole, raw, fresh"
1311,3/4 cup sugar,"""19335""","sugars, granulated"
1312,1 teaspoon vanilla extract,"""02050""",vanilla extract
1313,1 teaspoon ground ginger,"""02021""","spices, ginger, ground"
1314,Pinch of salt,"""02047""","salt, table"
1315,Ice cream or crème fraîche*,"""19095""","ice creams, vanilla"
1316,6 tablespoons sweet dessert wine (such as late-harvest Riesling),"""14057""","alcoholic beverage, wine, dessert, sweet"
1317,6 tablespoons sugar,"""19335""","sugars, granulated"
1318,3 tablespoons fresh lemon juice,"""09152""","lemon juice, raw"
1319,1 tablespoon brandy,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
1320,1 teaspoon (packed) grated lemon peel,"""09150""","lemons, raw, without peel"
1321,Generous pinch of ground nutmeg,"""02025""","spices, nutmeg, ground"
1322,1 cup chilled whipping cream,"""01053""","cream, fluid, heavy whipping"
1323,Fresh raspberries (optional),"""09302""","raspberries, raw"
1324,2 sticks unsalted butter at room temperature,"""01145""","butter, without salt"
1325,1/3 cup Truvia® natural sweetener or 18 packets,"""19337""","sweeteners, tabletop, aspartame, equal, packets"
1326,4 large eggs,"""01123""","egg, whole, raw, fresh"
1327,1/2 cup flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
1328,Pinch fine sea salt,"""02047""","salt, table"
1329,8 oz bittersweet chocolate melted,"""19904""","chocolate, dark, 70-85% cacao solids"
1330,2 tsp pure vanilla extract,"""02050""",vanilla extract
1331,1 large ripe Barlett pear peeled and thinly sliced,"""09252""","pears, raw"
1332,3 large sweet potatoes grated,"""11507""","sweet potato, raw, unprepared (includes foods for usda's food distribution program)"
1333,2 medium-sized onions grated or minced,"""11282""","onions, raw"
1334,1 green pepper chopped fine,"""11333""","peppers, sweet, green, raw"
1335,2 tablespoons melted bacon fat,"""04609""","animal fat, bacon grease"
1336,1/4 teaspoon black pepper,"""02030""","spices, pepper, black"
1337,1/8 teaspoon thyme,"""02049""","thyme, fresh"
1338,1/8 teaspoon marjoram,"""02023""","spices, marjoram, dried"
1339,1/8 teaspoon sage,"""02038""","spices, sage, ground"
1340,1 cup (2 sticks) unsalted butter room temperature,"""01145""","butter, without salt"
1341,1 cup packed light brown sugar,"""19334""","sugars, brown"
1342,1 cup granulated sugar,"""19335""","sugars, granulated"
1343,2 large eggs room temperature,"""01123""","egg, whole, raw, fresh"
1344,1 teaspoon pure vanilla extract,"""02050""",vanilla extract
1345,3 cups old-fashioned rolled oats,"""08402""","cereals, quaker, quick oats, dry"
1346,1 cup all-purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
1347,1/2 cup wheat germ,"""20078""","wheat germ, crude"
1348,1 teaspoon baking soda,"""18372""","leavening agents, baking soda"
1349,1 teaspoon baking powder,"""18371""","leavening agents, baking powder, low-sodium"
1350,1 1/2 cups mixed dried fruits and nuts coarsely chopped (golden raisins currants dried apricots dried cherries pecans or a combination of above),"""09032""","apricots, dried, sulfured, uncooked"
1351,1 1/4 cups firmly packed light brown sugar,"""19334""","sugars, brown"
1352,1/4 cup light corn syrup,"""19350""","syrups, corn, light"
1353,5 tablespoons unsalted butter cut into bits,"""01145""","butter, without salt"
1354,1 tablespoon cider vinegar,"""02048""","vinegar, cider"
1355,1/4 cup water,"""14411""","beverages, water, tap, drinking"
1356,1 teaspoon vanilla,"""02050""",vanilla extract
1357,1 cup semisweet chocolate chips,"""19904""","chocolate, dark, 70-85% cacao solids"
1358,3/4 cup finely chopped roasted and salted cashews,"""12585""","nuts, cashew nuts, dry roasted, with salt added"
1359,1/4 cup extra-virgin olive oil or to taste,"""04708""","mayonnaise, reduced fat, with olive oil"
1360,4 garlic cloves peeled and cut into thirds,"""11215""","garlic, raw"
1361,2 heads endive washed base removed sliced crosswise,"""11213""","endive, raw"
1362,3 to 4 shallots minced,"""11677""","shallots, raw"
1363,2 cans anchovies in oil,"""15002""","fish, anchovy, european, canned in oil, drained solids"
1364,2 cups water,"""14411""","beverages, water, tap, drinking"
1365,Freshly ground black pepper,"""02030""","spices, pepper, black"
1366,2 tablespoons chopped fresh savory,"""02039""","spices, savory, ground"
1367,2 tablespoons chopped fresh dill,"""02045""","dill weed, fresh"
1368,2 tablespoons chopped fresh fennel fronds,"""02018""","spices, fennel seed"
1369,1 cup pitted black olives such as Kalamata,"""09194""","olives, ripe, canned (jumbo-super colossal)"
1370,1 pound spaghetti,"""20120""","pasta, dry, enriched"
1371,1 ounce dried porcini mushrooms*,"""11268""","mushrooms, shiitake, dried"
1372,2 8-ounce packages dried three-cheese tortellini (such as Barilla),"""22901""","tortellini, pasta with cheese filling, fresh-refrigerated, as purchased"
1373,2 tablespoons (1/4 stick) butter,"""01001""","butter, salted"
1374,1 cup sliced shallots,"""11677""","shallots, raw"
1375,4 teaspoons chopped fresh thymedivided,"""02049""","thyme, fresh"
1376,1/2 cup whipping cream,"""01053""","cream, fluid, heavy whipping"
1377,3/4 cup freshly grated Parmesan cheese divided,"""01033""","cheese, parmesan, hard"
1378,3 1/2 pounds yellow-fleshed potatoes such as Yukon Gold,"""11362""","potatoes, raw, skin"
1379,1 1/4 cups skim milk,"""01085""","milk, nonfat, fluid, with added vitamin a and vitamin d (fat free or skim)"
1380,1/2 tablespoon canned chipotle chiles in adobo or to taste,"""11820""","peppers, hot chili, red, canned, excluding seeds, solids and liquids"
1381,2 tablespoons nonfat sour cream,"""01180""","sour cream, fat free"
1382,3 cups 1-inch cubes day-old bread (preferably whole-grain),"""18033""","bread, italian"
1383,extra-virgin olive oil,"""04708""","mayonnaise, reduced fat, with olive oil"
1384,1 papaya peeled seeded and cut into 1-inch chunks,"""09226""","papayas, raw"
1385,2 bananas peeled and sliced 1/2-inch thick,"""09040""","bananas, raw"
