,Description,NDB_NO_tags
1551,1.25 cups heavy cream,"""01053"""
1552,1.0 teaspoon kosher salt,"""02047"""
1553,3.0 teaspoons vanilla extract,"""02050"""
1554,2.0 tablespoons bourbon,"""14037"""
1555,1 whole pie crust,"""18946"""
1556,2.0 pounds peaches,"""09236"""
1557,0.5 cup light brown sugar,"""19334"""
1558,1.0 tablespoon vanilla extract,"""02050"""
1559,1.0 tablespoon squeezed lemon juice,"""09152"""
1560,0.5 cup granulated sugar,"""19335"""
1561,3.0 tablespoons ground instant tapioca ,"""19202"""
1562,0.5 teaspoon ground cinnamon,"""02010"""
1563,0.125 teaspoon salt,"""02047"""
1564,1.0 whole egg yolk,"""01125"""
1565,2.0 tablespoons sugar,"""19335"""
1566,2.0 teaspoons vanilla extract,"""02050"""
1567,2.0 cups rolled oats,"""08120"""
1568,0.5 cup butter,"""01001"""
1569,0.5 cup smooth peanut butter,"""16167"""
1570,1.0 cup sugar,"""19335"""
1571,1.0 cup brown sugar,"""19334"""
1572,2.0 cups flour,"""20581"""
1573,1.0 teaspoon baking soda,"""18372"""
1574,12.0 ounces chocolate chips,"""19120"""
1575,0.5 teaspoon salt,"""02047"""
1576,8.0 ounces semisweet chocolate,"""19080"""
1577,2.0 whole eggs,"""01123"""
1578,1.0 teaspoon baking powder,"""18371"""
1579,0.75 cup extra-virgin olive oil divided,"""44005"""
1580,2.0 teaspoons purchased hot pepper relish,"""31034"""
1581,1.0 whole garlic clove plus whole garlic clove,"""11215"""
1582,0.25 teaspoon salt,"""02047"""
1583,4.0 slices brioche,"""28318"""
1584,4.0 whole eggs,"""01123"""
1585,6.0 ounces fresh mozzarella cheese coarsely,"""01026"""
1586,0.25 cup fresh italian parsley leaves,"""11297"""
1587,8.0 whole egg yolks,"""01125"""
1588,0.5 cup sugar,"""19335"""
1589,1 pinch salt,"""02047"""
1590,0.75 cup marsala,"""14096"""
1591,0.25 cup sherry,"""14096"""
1592,1.5 cups heavy whipping cream,"""01053"""
1593,2.5 cups flour,"""20581"""
1594,5.0 teaspoons baking powder,"""18371"""
1595,1 pinch salt,"""02047"""
1596,10.0 whole eggs,"""01123"""
1597,2.5 cups sugar,"""19335"""
1598,0.5 cup water,"""14411"""
1599,2.0 teaspoons vanilla extract,"""02050"""
1600,1.5 cups heavy whipping cream,"""01053"""
1601,0.25 cup sugar,"""19335"""
1602,1.0 cup chocolate,"""19120"""
1603,0.75 cup amaretto cookies,"""18204"""
1604,1.25 cups cider vinegar,"""02048"""
1605,4.0 teaspoons chili powder,"""02009"""
1606,2.5 teaspoons salt,"""02047"""
1607,1.5 teaspoons sugar,"""19335"""
1608,1.0 teaspoon cayenne pepper,"""02031"""
1609,1.0 teaspoon dry mustard,"""02024"""
1610,1.0 teaspoon paprika,"""02028"""
1611,1.0 teaspoon ground black pepper,"""02030"""
1612,0.5 teaspoon ground cumin,"""02014"""
1613,4.0 whole chicken breast no skin,"""05062"""
1614,1.75 whole chicken,"""05011"""
1615,6.0 slices pancetta,"""10123"""
1616,1.5 cups dry white wine,"""14106"""
1617,0.5 cup balsamic vinegar,"""02069"""
1618,3.0 tablespoons garlic,"""11215"""
1619,2.0 teaspoons fresh rosemary,"""02063"""
1620,0.25 cup olive oil ,"""44005"""
1621,1 sprig rosemary,"""02063"""
1622,2.0 cups turkey meat,"""05293"""
1623,1.0 cup carrots,"""11124"""
1624,1.0 cup celery,"""11143"""
1625,1.0 cup onion,"""11282"""
1626,2.0 whole bay leaves,"""02004"""
1627,1.0 teaspoon dried thyme,"""02042"""
1628,2.0 cups reduced-sodium chicken broth,"""06970"""
1629,0.5 cup frozen green peas,"""11312"""
1630,1.5 cups leftover mashed potatoes,"""31036"""
1631,1 teaspoon salt,"""02047"""
1632,1 teaspoon black pepper,"""02030"""
1633,8.0 whole yukon gold potatoes,"""11362"""
1634,2.0 tablespoons white wine vinegar,"""02053"""
1635,1.0 whole clove garlic,"""11215"""
1636,1 tablespoon salt,"""02047"""
1637,2.0 whole eggs,"""01123"""
1638,1.0 tablespoon olive oil,"""44005"""
1639,2.5 pounds russet potatoes,"""11353"""
1640,2.5 pounds butternut squash,"""11485"""
1641,8.0 whole garlic cloves,"""11215"""
1642,0.25 pound margarine,"""04611"""
1643,1 pinch ground nutmeg,"""02025"""
1644,4.0 whole black teabags,"""14247"""
1645,0.5 cup sugar,"""19335"""
1646,6.0 tablespoons sugar,"""19335"""
1647,1.5 teaspoons ground cinnamon,"""02010"""
1648,1 tablespoon salt,"""02047"""
1649,0.5 teaspoon ground allspice,"""02001"""
1650,0.5 teaspoon ground ginger,"""02021"""
1651,0.25 teaspoon ground cloves,"""02011"""
1652,0.25 teaspoon nutmeg,"""02025"""
1653,1.0 whole egg white,"""01123"""
1654,1.0 cup unsalted raw almonds,"""12061"""
1655,1.0 cup unsalted raw hazelnuts,"""12120"""
1656,1.0 cup unsalted raw peanuts,"""16087"""
1657,1.0 cup unsalted raw pecans,"""12142"""
1658,1.0 cup bacon,"""10123"""
1659,3.0 tablespoons olive oil,"""44005"""
1660,1.0 pound boneless chicken breasts no skin,"""05062"""
1661,1.0 whole jar sun dried tomatoes,"""11955"""
1662,2.0 tablespoons garlic,"""11215"""
1663,1.0 pound fresh angel hair pasta,"""20420"""
1664,0.25 cup fresh basil,"""02044"""
1665,12 oz artichoke hearts,"""11007"""
1666,0.5 cup kalamata olives,"""09193"""
1667,6.0 ounces feta cheese crumbled,"""01019"""
1668,0.25 cup heavy cream,"""01053"""
1669,2.0 teaspoons dried oregano,"""02027"""
1670,1 teaspoon salt,"""02047"""
1671,1 teaspoon black pepper,"""02030"""
1672,4.0 cups chicken stock,"""06172"""
1673,1.5 tablespoon butted,"""01145"""
1674,2.0 whole shallots,"""11677"""
1675,1.75 cups arborio rice,"""20053"""
1676,0.5 cup white wine,"""14106"""
1677,2.0 tablespoons mascarpone cheese,"""01017"""
1678,2.0 tablespoons parmigiano-reggiano,"""01033"""
1679,8.0 ounces asparagus,"""11011"""
1680,1 teaspoon sea salt,"""02047"""
1681,0.25 cup creme fraiche,"""01056"""
1682,1.0 tablespoon lemon juice,"""09152"""
1683,1 teaspoon mint,"""02064"""
1684,0.5 whole onion,"""11282"""
1685,0.333333333333 cup ketchup,"""11935"""
1686,2.0 tablespoons worcestershire,"""06971"""
1687,0.25 cup white vinegar,"""02053"""
1688,0.5 cup sugar,"""19335"""
1689,1.0 cup canola oil,"""04582"""
1690,1.0 whole bag fresh spinach,"""11457"""
1691,2.0 whole hard boiled eggs,"""01129"""
1692,1 cup mushrooms,"""11260"""
1693,4.0 slices bacon cooked ,"""10860"""
1694,1.0 whole container fresh bean sprouts,"""11043"""
1695,4.0 whole avocadoes,"""09038"""
1696,0.25 cup white onion,"""11282"""
1697,0.25 cup sour cream,"""01056"""
1698,1 teaspoon salt,"""02047"""
1699,1 teaspoon black pepper,"""02030"""
1700,2.0 whole plum tomatoes,"""11529"""
1701,1 bag tortilla chips,"""25028"""
1702,4.0 pounds chicken,"""05011"""
1703,2.0 whole cloves garlic,"""11215"""
1704,1 teaspoon salt,"""02047"""
1705,1 teaspoon pepper,"""02030"""
1706,6.0 tablespoons butter,"""01001"""
1707,1.0 whole onion,"""11282"""
1708,3.0 whole parsnips,"""11298"""
1709,3.0 whole carrots,"""11124"""
1710,3.0 whole potatoes quartered,"""11362"""
1711,2.0 tablespoons olive oil,"""44005"""
1712,0.5 cup splash white wine,"""14106"""
1713,1.0 cup chicken stock,"""06172"""
1714,1 teaspoon salt,"""02047"""
1715,1 teaspoon pepper,"""02030"""
1716,1.0 pound wild alaskan salmon fillet skin,"""15238"""
1717,1.0 cup kosher salt,"""02047"""
1718,0.5 cup sugar,"""19335"""
1719,1.0 whole plum tomato,"""11529"""
1720,2.0 whole scallions,"""11291"""
1721,1.0 whole lime juiced,"""09160"""
1722,4.0 tablespoons extra virgin olive oil,"""04708"""
1723,8.0 whole artichokes,"""11007"""
1724,2.0 whole garlic cloves,"""11215"""
1725,6.0 whole eggs,"""01123"""
1726,4.0 tablespoons sharp cheddar,"""01270"""
1727,4.0 ounces fresh crimini mushrooms,"""11266"""
1728,2.0 pounds russet potatoes,"""11353"""
1729,1.5 teaspoons salt,"""02047"""
1730,0.5 teaspoon ground black pepper,"""02030"""
1731,0.5 cup olive oil,"""44005"""
1732,2.0 whole onions,"""11282"""
1733,6.0 whole eggs,"""01123"""
1734,2.0 tablespoons lime juice,"""09160"""
1735,1.5 tablespoons soy sauce,"""16124"""
1736,1.0 tablespoon fresh cilantro,"""11165"""
1737,1.0 tablespoon fresh ginger,"""11216"""
1738,1.0 tablespoon shallot,"""11677"""
1739,5 teaspoons olive oil,"""44005"""
1740,2.0 whole ounce sea bass fillets,"""15091"""
1741,4.0 sticks salted butter,"""01001"""
1742,2.0 cups granulated sugar,"""19335"""
1743,2.0 whole eggs,"""01123"""
1744,6.0 cups all-purpose flour,"""20581"""
1745,2.0 teaspoons baking powder,"""18371"""
1746,0.5 teaspoon kosher salt,"""02047"""
1747,2.0 teaspoons vanilla extract,"""02050"""
1748,2 teaspoons lemon juice,"""09152"""
1749,0.25 teaspoon ground cinnamon,"""02010"""
1750,4.0 whole egg whites,"""01124"""
1751,6.0 cups confectioners sugar,"""19335"""
1752,1.0 cup salted butter,"""01001"""
1753,1.0 cup packed brown sugar,"""19334"""
1754,1.0 cup granulated sugar,"""19335"""
1755,2.0 whole eggs,"""01123"""
1756,1.0 teaspoon vanilla extract,"""02050"""
1757,2.0 cups all-purpose flour,"""20581"""
1758,1.0 teaspoon baking soda,"""18372"""
1759,1.0 teaspoon baking powder,"""18371"""
1760,0.25 teaspoon salt,"""02047"""
1761,2.0 cups old-fashioned oatmeal,"""08200"""
1762,1.0 cup pecans,"""12142"""
1763,1.0 cup coconut,"""12104"""
1764,0.5 tablespoon cooking spray,"""04679"""
1765,.5 cup sugar,"""19335"""
1766,0.333333333333 cup lime curd ,"""19333"""
1767,1.0 whole container fat free vanilla pudding,"""19202"""
1768,4.0 whole egg whites,"""01124"""
1769,0.5 cup powdered sugar,"""19336"""
1770,0.25 whole lime,"""09159"""
1771,2 tablespoon butter,"""01001"""
1772,4 cups apples,"""09503"""
1773,1 cup light brown sugar,"""19334"""
1774,2.0 teaspoons cinnamon,"""02010"""
1775,0.25 cup brandy,"""14037"""
1776,4.0 whole egg whites,"""01124"""
1777,2.0 tablespoons confectioners sugar,"""19335"""
1778,2 tablespoons olive oil,"""44005"""
1779,1.0 tablespoon coarse sea salt,"""02047"""
1780,1.0 teaspoon cracked black pepper,"""02030"""
1781,2.0 tablespoons butter,"""01001"""
1782,0.25 cup pancetta ,"""10123"""
1783,1.0 teaspoon garlic,"""11215"""
1784,2.0 whole roma tomatoes,"""11529"""
1785,1.0 tablespoon mint,"""02064"""
1786,1.0 tablespoon basil,"""02044"""
1787,12.0 whole egg whites,"""01124"""
1788,0.25 cup swiss cheese,"""01040"""
1789,4.0 whole boneless center cut pork chops,"""10164"""
1790,1 teaspoon kosher salt,"""02047"""
1791,3.0 tablespoons extra-virgin olive oil,"""44005"""
1792,0.5 cup all-purpose flour,"""20581"""
1793,1.0 whole shallot,"""11677"""
1794,8.0 whole fresh sage leaves,"""02038"""
1795,0.5 cup dry white wine,"""14106"""
1796,1.25 cups low-sodium chicken broth,"""06970"""
1797,5.0 slices prosciutto 1,"""42128"""
1798,1.0 cup fontina cheese ,"""01020"""
1799,0.25 cup parmesan cheese,"""01033"""
1800,1 ounce frozen peas,"""11312"""
1801,3.0 tablespoons olive oil,"""44005"""
1802,1.0 tablespoon unsalted butter,"""01145"""
1803,3.0 whole fuji apples,"""09504"""
1804,1.0 stick cinnamon,"""02010"""
1805,1 teaspoon lemon juice,"""09152"""
1806,0.75 cup fresh apple cider,"""03166"""
1807,1.0 whole zucchini,"""11477"""
1808,1.0 stalk celery,"""11143"""
1809,1.0 whole leek,"""11246"""
1810,0.5 whole red pepper,"""11821"""
1811,1.0 teaspoon thyme,"""02049"""
1812,1 teaspoon salt,"""02047"""
1813,1 teaspoon black pepper,"""02030"""
1814,4.0 whole navel oranges,"""09203"""
1815,1.0 tablespoon red-wine vinegar,"""02068"""
1816,1.0 teaspoon packed dark brown sugar,"""19334"""
1817,0.25 cup extra-virgin olive oil,"""44005"""
1818,4.0 whole confit duck legs at room temperature,"""05144"""
1819,8.0 cups watercress sprigs tough stems discarded,"""11591"""
1820,1.0 cup walnuts toasted cooled ,"""12155"""
1821,5.0 ounces salmon skin no skin,"""15238"""
1822,1 teaspoon salt,"""02047"""
1823,1 teaspoon black pepper,"""02030"""
1824,2.0 tablespoons grapeseed oil,"""04517"""
1825,1.0 teaspoon slivered garlic,"""11215"""
1826,1.0 teaspoon shallots,"""11677"""
1827,2.0 ounces canned cannellini beans ,"""16037"""
1828,1.0 cup spinach,"""11457"""
1829,1.0 ounce lemon juice ,"""09152"""
1830,1.0 ounce vegetable stock,"""06615"""
1831,1.0 tablespoon capers ,"""02054"""
1832,1.0 tablespoon unsalted butter,"""01145"""
1833,1.0 tablespoon parsley,"""11297"""
1834,2.5 cups white whole wheat flour,"""20080"""
1835,0.5 cup all-purpose flour,"""20581"""
1836,1.0 tablespoon baking powder,"""18371"""
1837,0.5 teaspoon salt,"""02047"""
1838,3.0 tablespoons cold unsalted butter cut into pieces,"""01145"""
1839,1.25 cups reduced-fat milk,"""01174"""
1840,3.0 tablespoons honey plus more for serving,"""19296"""
1841,1.0 whole egg white,"""01123"""
1842,2.0 whole poblano peppers,"""11670"""
1843,0.25 whole red onion,"""11282"""
1844,2.0 tablespoons fresh lime juice,"""09160"""
1845,0.75 cup olive oil,"""44005"""
1846,0.5 cup spinach,"""11457"""
1847,2.0 teaspoons honey,"""19296"""
1848,1 teaspoon salt,"""02047"""
1849,1 teaspoon black pepper,"""02030"""
1850,6.0 whole corn,"""11167"""
1851,3.0 tablespoons olive oil,"""44005"""
1852,2.0 whole vidalia onions,"""11294"""
1853,1 teaspoon salt,"""02047"""
1854,1 teaspoon black pepper,"""02030"""
1855,2.0 tablespoons creme fraiche,"""01056"""
1856,6.0 whole basil leaves,"""02044"""
1857,3.0 whole eggs,"""01123"""
1858,2.0 cups all-purpose flour,"""20581"""
1859,1 teaspoon salt,"""02047"""
1860,1 teaspoon black pepper,"""02030"""
1861,12.0 ounces of blue corn tortilla chips,"""25028"""
1862,24 ounce whole red snapper fillets,"""15101"""
1863,6.0 tablespoons olive oil,"""44005"""
1864,2 pounds rhubarb,"""09307"""
1865,1.25 cups sugar,"""19335"""
1866,0.333333333333 cup water,"""14411"""
1867,0.5 cup olive oil,"""44005"""
1868,1.0 stalk celery,"""11143"""
1869,1 lb country ham,"""10141"""
1870,2.0 whole white onions,"""11282"""
1871,2.0 pounds dried split peas,"""16085"""
1872,1.0 gallon chicken stock,"""06172"""
1873,1 teaspoon salt,"""02047"""
1874,1 teaspoon black pepper,"""02030"""
1875,1 teaspoon black pepper,"""02030"""
1876,1 cups croutons,"""18242"""
1877,2.0 sticks unsalted butter at room temperature,"""01145"""
1878,2.5 cups all-purpose flour ,"""20581"""
1879,0.5 teaspoon baking powder,"""18371"""
1880,0.5 teaspoon salt,"""02047"""
1881,1.5 cups sugar,"""19335"""
1882,1.0 whole egg,"""01123"""
1883,1.0 teaspoon pure vanilla extract,"""02050"""
1884,0.5 tablespoon confectioners sugar,"""19335"""
1885,1.0 tablespoon milk,"""01077"""
1886,2.0 cups all-purpose flour,"""20581"""
1887,0.75 cup sugar,"""19335"""
1888,1.0 teaspoon baking powder,"""18371"""
1889,0.5 pinch for egg whites,"""01124"""
1890,7.5 ounces canned pumpkin,"""11424"""
1891,0.75 cup milk,"""01077"""
1892,1.0 whole orange juice,"""42270"""
1893,1 tablespoons butter,"""01001"""
1894,2 tablespoons powdered sugar,"""19336"""
1895,1.0 cup grade b maple syrup,"""19353"""
1896,1.5 cups heavy cream chilled,"""01053"""
1897,1.0 teaspoon vanilla extract,"""02050"""
1898,1.0 tablespoon sugar,"""19335"""
1899,4.0 slices thick-cut bacon ,"""10123"""
1900,1.0 whole lime,"""09159"""
1901,1.5 cups cilantro,"""11165"""
1902,2.0 whole green onions,"""11291"""
1903,2.0 tablespoons toasted pecans,"""12142"""
1904,1.0 whole clove garlic,"""11215"""
1905,1.0 teaspoon sugar,"""19335"""
1906,2.0 tablespoons vegetable oil,"""04513"""
1907,2.0 tablespoons extra-virgin olive oil,"""44005"""
1908,1 teaspoon salt,"""02047"""
1909,1 teaspoon black pepper,"""02030"""
1910,0.75 pound shrimp ,"""15270"""
1911,1.0 tablespoon extra-virgin olive oil,"""44005"""
1912,1 teaspoon kosher salt,"""02047"""
1913,2 tablespoons peanut oil,"""44005"""
1914,2.0 cups panko bread crumbs*,"""18376"""
1915,3.0 whole eggs,"""01123"""
1916,1 teaspoon salt,"""02047"""
1917,1 teaspoon black pepper,"""02030"""
1918,1 teaspoon black pepper,"""02030"""
1919,2.0 pounds halibut snapper,"""15036"""
1920,8.0 whole corn tortillas,"""18363"""
1921,0.5 whole head napa cabbage shredded,"""11114"""
1922,1 whole pink chili mayo,"""04708"""
1923,1.5 cups mayonnaise,"""42138"""
1924,1.5 cups sour cream,"""01056"""
1925,2.0 whole canned chipotle peppers in adobo sauce,"""11819"""
1926,0.5 whole lime juice,"""09159"""
1927,1 teaspoon salt,"""02047"""
1928,1 teaspoon black pepper,"""02030"""
1929,1 teaspoon black pepper,"""02030"""
1930,2.25 cups all purpose flour,"""20581"""
1931,4.0 teaspoons baking powder,"""18371"""
1932,1.0 teaspoon ground ginger,"""02021"""
1933,1.0 teaspoon ground cinnamon,"""02010"""
1934,0.75 teaspoon salt,"""02047"""
1935,0.5 teaspoon ground cardamom,"""02006"""
1936,0.5 cup unsalted butter,"""01145"""
1937,6 oz canned pumpkin,"""11424"""
1938,0.25 tablespoons whipping cream  ,"""01053"""
1939,0.333333333333 cup golden brown sugar,"""19334"""
1940,4.0 tablespoons honey,"""19296"""
1941,0.5 cup walnuts,"""12155"""
1942,16.0 whole walnuts,"""12155"""
1943,1.0 lb dried white beans such as great northern cannellini,"""16049"""
1944,0.25 lb pancetta,"""10123"""
1945,2.0 tablespoons olive oil,"""44005"""
1946,1.0 whole onion,"""11282"""
1947,1.0 whole fennel bulb stalks discarded,"""11957"""
1948,4.0 whole garlic cloves,"""11215"""
1949,"4.0 cups """">chicken stock","""06172"""
1950,4.0 cups water,"""14411"""
1951,1.0 whole piece parmigiano reggiano rind,"""01033"""
1952,0.25 teaspoon black pepper,"""02030"""
1953,0.5 lb swiss chard stems discarded ,"""11147"""
1954,1.0 teaspoon salt,"""02047"""
1955,2.0 tablespoons smoked paprika,"""02028"""
1956,2.0 tablespoons salt,"""02047"""
1957,2.0 tablespoons onion powder,"""02026"""
1958,1.0 tablespoon cayenne pepper,"""02031"""
1959,1.0 tablespoon ground cumin,"""02014"""
1960,2.0 teaspoons dried thyme,"""02042"""
1961,2.0 teaspoons dried oregano,"""02027"""
1962,2.0 teaspoons black pepper,"""02030"""
1963,2.0 teaspoons garlic powder,"""02020"""
1964,4.0 pounds chicken,"""05011"""
1965,1 tablespoon vegetable oil,"""04513"""
1966,3 tablespoon chicken seasoning,"""02034"""
1967,12 oz beer,"""14006"""
1968,0.25 cup olive oil,"""44005"""
1969,0.5 teaspoon salt,"""02047"""
1970,0.5 teaspoon black pepper,"""02030"""
1971,0.5 teaspoon garlic salt,"""02020"""
1972,0.5 teaspoon seasoned salt,"""02047"""
1973,1.0 cup all-purpose flour,"""20581"""
1974,6.0 whole cloves garlic,"""11215"""
1975,2.0 whole carrots,"""11124"""
1976,2.0 whole stalks celery,"""11143"""
1977,1.0 whole vidalia onion,"""11294"""
1978,1.0 cup red wine,"""14096"""
1979,2.0 cups chicken stock,"""06172"""
1980,2.0 cups veal stock,"""06170"""
1981,2.0 cups water,"""14411"""
1982,1 ounce plum tomatoes,"""11529"""
1983,2.0 tablespoons worcestershire sauce,"""06971"""
1984,6.0 whole red potatoes with skin on,"""11352"""
1985,1 whole three cheese polenta,"""20020"""
1986,4.5 cups water,"""14411"""
1987,1.0 cup ground polenta,"""20020"""
1988,1 teaspoon salt,"""02047"""
1989,0.25 cup shredded gruyere cheese,"""01023""]"
1990,0.25 cup shredded parmesan cheese,"""01033"""
1991,0.25 cup mild cheddar cheese,"""01270"""
1992,0.25 cup unsalted butter,"""01145"""
1993,1 teaspoon black pepper,"""02030"""
1994,1.75 whole duck breast,"""05144"""
1995,0.75 cup shallots,"""11677"""
1996,2.25 cups canned low-salt chicken broth,"""06970"""
1997,1.5 cups orange juice,"""42270"""
1998,4.5 teaspoons earl grey tea leaves,"""14247"""
1999,1.0 tablespoon honey,"""19296"""
2000,1.0 pound potato tots,"""11403"""
2001,2.0 tablespoons olive oil,"""44005"""
2002,1.0 whole vidalia onion,"""11294"""
2003,1.0 whole jalapeno,"""11979"""
2004,1 teaspoon salt,"""02047"""
2005,1 teaspoon black pepper,"""02030"""
2006,1 teaspoon black pepper,"""02030"""
2007,1.0 whole clove garlic,"""11215"""
2008,1.0 teaspoon paprika,"""02028"""
2009,1.0 teaspoon dried thyme,"""02042"""
2010,1.0 teaspoon dried oregano,"""02027"""
2011,1.0 cup ketchup,"""11935"""
2012,0.25 cup yellow mustard,"""02046"""
2013,2.0 tablespoons worcestershire sauce,"""06971"""
2014,0.666666666667 cup brown sugar,"""19334"""
2015,1.0 tablespoon white vinegar,"""02053"""
2016,1.0 whole rotisserie chicken skin discarded meat,"""05356"""
2017,12 oz premade pizza crust ,"""18014"""
2018,0.5 cup shredded cheddar,"""01270"""
2019,0.25 cup shredded parmesan,"""01033"""
2020,8.0 ounces buffalo mozzarella torn into 1 to 2-inch pieces,"""01026"""
2021,1.5 pounds chicken breast,"""05057"""
2022,0.333333333333 cup teriyaki sauce,"""06112"""
2023,4.0 tablespoons vegetable oil,"""04513"""
2024,1.0 tablespoon grill seasoning,"""02034"""
2025,1.5 pounds cabbage,"""11109"""
2026,1.0 whole bunch scallions,"""11291"""
2027,1 cup snow peas,"""11300"""
2028,0.25 cup honey,"""19296"""
2029,3.0 tablespoons apple cider vinegar,"""02048"""
2030,3.0 tablespoons pickled ginger ,"""11216"""
2031,10 ounces carrots,"""11124"""
2032,1 teaspoon salt,"""02047"""
2033,1 teaspoon black pepper,"""02030"""
2034,1 teaspoon black pepper,"""02030"""
2035,1.0 tablespoon olive oil,"""44005"""
2036,2.0 whole onions,"""11282"""
2037,2.0 whole bunches swiss chard,"""11147"""
2038,3.0 whole garlic cloves,"""11215"""
2039,12 oz tomatoes with juices,"""11693"""
2040,0.25 cup dry white wine,"""14106"""
2041,0.25 teaspoon dried red pepper flakes,"""'02031'"""
2042,1 teaspoon salt,"""02047"""
2043,1 teaspoon black pepper,"""02030"""
2044,1 teaspoon black pepper,"""02030"""
2045,8.0 ounces whole-wheat spaghetti,"""20420"""
2046,0.25 cup pitted kalamata olives coarsely,"""09194"""
2047,2.0 tablespoons pecorino cheese,"""01033"""
2048,2.0 tablespoons toasted pine nuts,"""12147"""
2049,2.0 whole egg whites,"""01124"""
2050,1.0 tablespoon cornstarch,"""20027"""
2051,0.5 pound rock shrimp ,"""15270"""
2052,2.0 whole cloves garlic,"""11215"""
2053,1.0 whole shallot,"""11677"""
2054,1.0 tablespoon cornstarch,"""20027"""
2055,2.0 tablespoons parsley leaves,"""11297"""
2056,0.5 cup napa cabbage,"""11114"""
2057,2.0 tablespoons mascarpone cheese,"""01017"""
2058,1.0 whole lemon juiced,"""09152"""
2059,1.0 teaspoon ground black pepper,"""02030"""
2060,12.0 whole potsticker skins,"""18368"""
2061,2.0 tablespoons peanut oil,"""44005"""
2062,0.333333333333 cup soy sauce,"""16124"""
2063,2.0 whole oranges juiced,"""42270"""
2064,1.0 tablespoon rice wine vinegar,"""04135"""
2065,1 pinch red pepper flakes,"""02031"""
2066,2.0 tablespoons scallions,"""11291"""
2067,1.5 teaspoons active dry yeast,"""18375"""
2068,0.25 teaspoon sugar,"""19335"""
2069,1.0 cup warm water ,"""14411"""
2070,3.0 cups all-purpose flour,"""20581"""
2071,0.25 teaspoon salt,"""02047"""
2072,0.5 cup powdered whole milk,"""14312"""
2073,1.0 whole egg,"""01123"""
2074,0.5 cup vegetable oil,"""04513"""
2075,0.5 cup olive oil,"""44005"""
2076,0.25 cup fresh flat-leaf parsley,"""11297"""
2077,5.0 ounces mozzarella cheese shredded on the holes of a box grater ,"""01026"""
2078,1.0 tablespoon fresh oregano,"""02027"""
2079,0.25 cup sesame seeds,"""12023"""
2080,0.25 cup olive oil plus extra for drizzling,"""44005"""
2081,1.25 pounds ground lamb,"""17371"""
2082,0.75 cup onion,"""11282"""
2083,0.5 cup fresh parsley,"""11297"""
2084,0.5 cup fresh cilantro,"""11165"""
2085,4.0 whole garlic cloves,"""11215"""
2086,0.75 teaspoon salt,"""02047"""
2087,0.5 teaspoon ground black pepper,"""02030"""
2088,0.5 teaspoon paprika,"""02028"""
2089,0.5 teaspoon cayenne pepper,"""02031"""
2090,12.0 whole bamboo skewers,"""11026"""
2091,1 cup olive oil,"""44005"""
2092,1 package pita bread,"""18041"""
2093,1 tablespoon hot-pepper paste,"""06961"""
2094,1.25 cups all purpose flour,"""20581"""
2095,0.5 tablespoon sugar,"""19335"""
2096,0.5 teaspoon salt,"""02047"""
2097,0.5 cup unsalted butter ,"""01145"""
2098,3.0 tablespoons water,"""14411"""
2099,2.0 cups low-salt chicken broth,"""06970"""
2100,2.0 tablespoons extra-virgin olive oil,"""44005"""
2101,1.0 tablespoon ground ginger,"""02021"""
2102,2.0 whole garlic cloves,"""11215"""
2103,2.0 teaspoons salt,"""02047"""
2104,1.0 teaspoon ground turmeric,"""02043"""
2105,0.5 teaspoon ground cinnamon,"""02010"""
2106,0.25 teaspoon ground cumin,"""02014"""
2107,10 oz box plain couscous,"""20028"""
2108,0.5 cup raisins,"""09299"""
2109,1.5 whole cucumber,"""11205"""
2110,1.5 whole red bell pepper,"""11821"""
2111,1.0 whole carrot,"""11124"""
2112,1.0 cup green beans,"""11052"""
2113,2.5 tablespoons extra-virgin olive oil,"""44005"""
2114,2.0 tablespoons lemon juice,"""09152"""
2115,0.5 teaspoon salt,"""02047"""
2116,0.5 teaspoon ground black pepper,"""02030"""
2117,6.33333333333 whole chicken breast no skin,"""05062"""
2118,0.75 cup cilantro,"""11165"""
2119,0.5 cup toasted almonds ,"""12061"""
2120,1.0 whole lemon,"""09150"""
2121,3.75 cups french bread,"""18349"""
2122,2.0 cups milk,"""01077"""
2123,2.0 whole eggs,"""01123"""
2124,1.0 cup sugar,"""19335"""
2125,1.0 tablespoon vanilla extract,"""02050"""
2126,0.5 teaspoon cinnamon,"""02010"""
2127,0.25 teaspoon nutmeg,"""02025"""
2128,4.0 tablespoons butter,"""01001"""
2129,0.5 cup sultana raisins,"""09299"""
2130,2.0 whole egg yolks,"""01125"""
2131,1.0 stick butter,"""01001"""
2132,1.0 cup sugar,"""19335"""
2133,0.333333333333 cup bourbon whiskey,"""14037"""
2134,0.5 tablespoon olive oil spray,"""04679"""
2135,1.5 cups walnuts,"""12155"""
2136,1.0 cup all purpose flour,"""20581"""
2137,1.0 tablespoon baking powder,"""18371"""
2138,4.0 whole eggs,"""01123"""
2139,1.5 cups sugar,"""19335"""
2140,0.5 cup olive oil,"""44005"""
2141,2 tablespoons powdered sugar,"""19336"""
2142,0.25 cup red wine vinegar,"""02068"""
2143,1.0 tablespoon honey,"""19296"""
2144,1.0 pinch saffron,"""02037"""
2145,1.0 cup mayonnaise,"""42138"""
2146,1.0 tablespoon garlic,"""11215"""
2147,1 teaspoon salt,"""02047"""
2148,1 teaspoon black pepper,"""02030"""
2149,2.0 pounds potatoes,"""11352"""
