,JSON_ValueString,grams
799,"0.333333333333 cup plain breadcrumbs",12
800,"0.75 cup plain greek yogurt",184
801,"2.0 whole plum tomatoes",124
802,"2.0 whole poblano peppers",12
803,"1.0 whole pork tenderloin",150
804,"1.0 pound potato tots",453
805,"1.0 pound potato tots",453
806,"1.25 whole pound butternut squash",567
807,"1.0 pound premium semisweet chocolate",453
808,"3.0 slices prosciutto",45
809,"8.0 slices provolone cheese",227
810,"1.0 whole radicchio",370
811,"5.0 whole radishes",85
812,"0/5 cup raisins",75
813,"10 whole raspberries",20
814,"5 whole raspberries",10
815,"1 tablespoon raspberry liqueur",15
816,"6.0 tablespoons raspberry preserves",120
817,"2.0 whole red bell peppers",240
818,"4.0 whole red bell peppers",480
819,"4.0 whole red bliss potatoes roasted",440
820,"2.0 pints red cherry tomatoes",560
821,"1.0 whole red pepper",60
822,"8.0 whole red potatoes",880
823,"3.0 whole ripe bananas",360
824,"1 cup risotto",197
825,"2.0 whole roasted red pepper",120
826,"1.0 tablespoon rum",15
827,"4.0 whole russet potatoes",1440
828,"4.0 whole salmon fillets",452
829,"1.0 pinch salt",0.25
830,"1 pinch salt",0.25
831,"1 dash salt",0.25
832,"1 pinch salt",0.25
833,"1 tablespoon salt",17
834,"1 tablespoon salt",17
835,"0.5 cup salted butter",113
836,"4.0 tablespoons salted butter",56
837,"2.0 tablespoons salted butter",28
838,"4.0 tablespoons salted butter",56
839,"4.0 sticks salted butter",452
840,"1.0 cup salted butter",226
841,"1 whole salted caramel buttercream",150
842,"0.333333333333 cup salted peanuts",40
843,"3 cups salted pork",339
844,"5.0 whole scallions",125
845,"2 bunches scallions",200
846,"6.0 whole scallions white",150
847,"1 pinch sea salt",0.25
848,"1.0 pinch sea salt",0.25
849,"8.0 ounces sea scallops",225
850,"0.5 pound sea scallops",225
851,"16.0 ounces semisweet chocolate",440
852,"4.0 ounces semisweet chocolate",110
853,"4.0 ounces semisweet chocolate",110
854,"2.0 ounces semisweet chocolate",55
855,"0.5 cup semisweet chocolate chips",110
856,"1.0 cup semisweet chocolate chips",220
857,"0.5 cup semisweet chocolate chips",110
858,"0.25 cup semisweet dark chocolate",55
859,"1.0 whole serrano",6
860,"2.0 whole serrano",12
861,"3.0 whole shallots",126
862,"4.0 tablespoons sharp cheddar",25
863,"1.0 cup sharp cheddar cheese",100
864,"1.5 cups sharp yellow cheddar cheese",150
865,"1.0 whole sheet frozen puff pastry",245
866,"0.5 pound shiitakes mushroom",227
867,"0.5 cup shredded cheddar",50
868,"1.0 ounce shredded cheddar",28
869,"0.5 cup shredded sharp yellow cheddar",50
870,"16.0 whole shrimp",272
871,"1.0 ounce simple syrup",28.25
872,"4.0 whole sized bosc pears",440
873,"1 whole smoked red pepper sauce",175
874,"1 whole smoked yellow pepper sauce",175
875,"64 ounce spaghetti sauce",1808
876,"0.5 cup spanish onion",55
877,"3.0 whole spanish onion",330
878,"1.0 whole spanish onion",110
879,"1.0 whole spanish onion",110
880,"2.0 whole spears endive",170
881,"0.5 sprinkle spiced caramelized pecans",15
882,"1.0 pound spicy sausage",453
883,"1 tables spoon kosher salt",15
884,"0.5 sticks unsalted butter",56
885,"1.0 pint strawberries",340
886,"1.0 tablespoon sugar",19
887,"1.0 cup sugar syrup",322
888,"3.0 whole sugarcane",300
889,"1.0 cup super shiitake caps",145
890,"6.0 tablespoons sweet dessert wine",90
891,"2.0 tablespoons sweet gherkins",30
892,"4.0 pounds sweet italian sausage links",1814
893,"5.0 whole sweet potatoes",570
894,"2.0 whole sweet potatoes",228
895,"3.0 whole sweet potatoes",342
896,"4.0 whole tail of filet",452
897,"1 whole tart dough",175
898,"1.0 cup taylor ham",150
899,"1.0 whole tequila",45
900,"1.0 teaspoon thai red curry paste",6
901,"6.0 sprigs thyme",6
902,"2 sprigs thyme",2
903,"5.0 sprigs thyme",5
904,"10.0 whole to basil leaves",10
905,"4.0 tablespoons toffee candy",60
906,"1.5 pounds tomatillos",680
907,"6.0 whole tomatillos coarsely",126
908,"1 bag tortilla chips",200
909,"0.5 tablespoon triple sec",8
910,"16.0 whole uncooked shrimp deveined",272
911,"1.25 teaspoons unflavored gelatin",18
912,"0.75 ounce unflavored gelatin",21
913,"1.0 tablespoon unsalted butter",14
914,"1.25 cups unsalted butter",278
915,"8.0 tablespoons unsalted butter",113
916,"1.0 cup unsalted butter",226
917,"8.0 tablespoons unsalted butter",113
918,"1.0 cup unsalted butter",226
919,"2.0 tablespoons unsalted butter",28
920,"0.333333333333 cup unsalted butter",75
921,"1.0 tablespoon unsalted butter",14
922,"4.0 tablespoons unsalted butter",56
923,"1.0 tablespoons unsalted butter",14
924,"6.0 tablespoons unsalted butter",70
925,"1.0 pound unsalted butter",453
926,"5.0 tablespoons unsalted butter",63
927,"3.0 tablespoons unsalted butter",42
928,"1.0 tablespoon unsalted butter",14
929,"4.0 tablespoons unsalted butter",56
930,"3.0 tablespoons unsalted butter",42
931,"2.0 tablespoons unsalted butter",28
932,"8.0 ounces unsalted butter",226
933,"0.25 cup unsalted butter",56
934,"1.0 tablespoon unsalted butter",14
935,"3.0 tablespoons unsalted butter",42
936,"0.333333333333 cup unsalted butter",75
937,"3.0 tablespoons unsalted butter",42
938,"8.0 ounces unsalted butter",226
939,"3.0 tablespoons unsalted butter",42
940,"6.0 tablespoons unsalted butter",84
941,"3.0 tablespoons unsalted butter",42
942,"0.5 cup unsalted butter",113
943,"0.5 cup unsalted butter",113
944,"2.0 tablespoons unsalted butter",28
945,"1.0 cup unsalted butter",226
946,"1.0 tablespoon unsalted butter",14
947,"0.5 cup unsalted butter",113
948,"12.5 tablespoons unsalted butter",175
949,"0.5 cup unsalted butter",113
950,"16.0 tablespoons unsalted butter",226
951,"1.0 tablespoon unsalted butter",14
952,"2.0 tablespoons unsalted butter",28
953,"1.0 tablespoon unsalted butter",14
954,"6 tablespoons unsalted butter",84
955,"5.0 tablespoons unsalted butter",70
956,"0.5 cup unsalted butter",113
957,"2.0 sticks unsalted butter",226
958,"1.0 cup unsalted butter",226
959,"1.0 stick unsalted butter",113
960,"5.0 tablespoons unsalted butter",70
961,"2.0 tablespoons unsalted butter",28
962,"1.5 sticks unsalted butter",169
963,"1.0 tablespoon unsalted butter",14
964,"6.0 tablespoons unsalted butter",84
965,"3.0 tablespoons unsalted butter",42
966,"2.0 sticks unsalted butter",24
967,"5.0 tablespoons unsalted butter",70
968,"3.0 tablespoons unsalted butter",42
969,"0.75 cup unsalted butter",169
970,"0.5 cup unsalted butter",113
971,"4.0 tablespoons unsalted butter",56
972,"1.0 stick unsalted butter",113
973,"1.25 sticks unsalted butter",141
974,"8.0 tablespoons unsalted butter",113
975,"1.0 tablespoon unsalted butter",14
976,"4.0 tablespoons unsalted butter",56
977,"0.5 cup unsalted butter",113
978,"4.0 tablespoons unsalted butter",56
979,"3.0 sticks unsalted butter",339
980,"2.0 tablespoons unsalted butter",28
981,"2.0 tablespoons unsalted butter",28
982,"2.0 tablespoons unsalted butter",28
983,"2.0 tablespoons unsalted butter",28
984,"0.75 cup unsalted butter",169
985,"1.25 sticks unsalted butter",141
986,"6.0 tablespoons unsalted butter",84
987,"1.5 cup unsalted butter",339
988,"0.5 cup unsalted butter",113
989,"0.5 cup unsalted butter",113
990,"0.5 cup unsalted peanuts",60
991,"1.0 cup unsalted raw peanuts",120
992,"1 whole vanilla bean",7
993,"2.0 whole vanilla beans",14
994,"1.0 tablespoon vanilla brandy",15
995,"0.5 cup vanilla ice cream",100
996,"1 cup vanilla ice cream",200
997,"1 scoop vanilla ice cream",100
998,"1 cup vanilla ice cream",200
999,"1.0 pint vanilla ice cream",400
1000,"2.0 whole vidalia onions",250
1001,"tablespoons extra virgin olive oil",15
1002,"3.0 tablespoons vodka",45
1003,"3.0 tablespoons water",45
1004,"1 tablespoon water",15
1005,"2.0 tablespoons water",30
1006,"2.0 tablespoons water",30
1007,"1.0 tablespoon water",15
1008,"1.0 tablespoon water",15
1009,"4.0 tablespoons water",60
1010,"7.0 whole water chestnuts",114
1011,"8.0 slices white bread",240
1012,"8 slices white bread",360
1013,"6.0 slices white bread",270
1014,"1.0 pound white bread dough",453
1015,"3.0 ounces white chocolate",84
1016,"4.0 ounces white chocolate",112
1017,"9.0 ounces white chocolate",252
1018,"6.0 ounces white chocolate",178
1019,"0.5 cup white chocolate chips",110
1020,"8.0 whole white corn tortillas",320
1021,"2 quarts white grape juice",1920
1022,"2.0 whole white onions",220
1023,"1.0 whole whole clove",0.5
1024,"1.0 whole whole egg",44
1025,"2.0 whole whole eggs",88
1026,"2.0 whole whole eggs",88
1027,"1.5 pound whole sea bass",680
1028,"2.0 whole yellow onion",220
1030,"9.0 slices whole-grain bread",450
1033,"2.0 whole yellow bell peppers",240
1032,"2.0 pints yellow cherry tomatoes",560
1033,"2.0 whole yellow onions",220
1034,"2.0 pounds yukon gold potatoes",907
1035,"3.5 pounds yukon gold potatoes",1587.5
1036,"8.0 whole yukon gold potatoes",1200
1037,"4.0 whole yukon gold potatoes",600
